time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
2017-12-31,UKJ22,UK,East Sussex CC,5.5329132,2.8824863,-3.0563366,7.9789753,12.808772,0,0,9.7173338,9.9670868,0,3.0561855,.15721807,-.2447805,-.26437691,110.06839,3.5505931,17.966879,30.98732,6.9940729,39.185139,33.186794,33.812347,.0089712869,.00028939638,5.2664227
2017-12-31,UKN0F,UK,Mid and East Antrim,5.8366938,3.9854076,-1.4481947,7.6697526,12.960733,0,0,3.053642,9.6633062,0,2.9111652,.1166655,-.046339229,-.051078659,67.333549,2.1720498,12.124583,19.525459,5.9285583,-23.868471,-26.029671,-26.509623,.0032689176,.00010544895,4.9546847
2017-12-31,UKN0G,UK,Fermanagh and Omagh,5.2611351,3.1550288,-3.2913918,7.4057713,12.519958,0,0,5.0218678,10.238865,0,3.3243906,.41465911,.20134902,.18906067,73.500244,2.3709755,10.534218,20.557823,6.0694604,-25.310337,-28.201057,-29.111885,.0089972811,.00029023486,3.9572279
2017-12-31,UKK41,UK,Plymouth,6.7505698,4.6130071,-.25117338,8.851469,12.54524,0,0,1.1191382,8.7494297,0,2.3533995,.55512333,.24888232,.23083468,100.84344,3.2530141,15.471073,27.492117,5.9941492,5.3384805,1.9517285,3.2055354,.00073858391,.000023825289,4.8030467
2017-12-31,UKK42,UK,Torbay,7.6644745,5.8475084,1.928833,9.5428104,13.209137,0,0,0,7.8355255,0,2.2253098,.41132593,.094479561,.084506989,90.920334,2.932914,15.288807,26.879183,6,-1.2494202,-1.8505554,-.83535767,.00041835872,.000013495443,6.0644751
2017-12-31,UKK43,UK,Devon CC,6.4996243,4.2605934,-1.0963576,8.6173286,12.575949,0,0,3.0955005,9.0003757,0,2.499136,.60607278,.27033406,.25202924,96.329987,3.107419,16.961649,26.702692,5.6183133,8.3751183,5.6546993,6.5502815,.0017905581,.000057759935,4.9495988
2017-12-31,UKL11,UK,Isle of Anglesey,6.9469571,5.1480861,-.55369252,8.507926,12.635703,0,0,1.2888764,8.5530424,0,2.6688371,.78819561,.31081071,.3122676,98.253372,3.1694636,17.794136,26.355165,3,-6.5198522,-13.055598,-13.693765,.0051556868,.00016631247,5.6820693
2017-12-31,UKL12,UK,Gwynedd,5.8547773,3.9147475,-3.2068672,7.4183269,11.54859,0,0,4.1557651,9.6452227,0,2.7944744,.7339837,.25536001,.25250271,134.7186,4.3457613,17.134598,32.543377,2.9639304,-9.0574837,-19.429546,-19.96657,.017490532,.00056421076,5.1824503
2017-12-31,UKL13,UK,Conwy and Denbighshire,5.3143201,3.017622,-5.0538979,7.2338505,12.034614,0,0,5.5685668,10.18568,0,3.1885531,.76265061,.26178923,.25500026,82.472244,2.6603949,11.064795,24.244432,3.9575503,-4.6431494,-8.9413319,-9.9925785,.017376693,.00056053844,4.2473726
2017-12-31,UKL14,UK,South West Wales,6.4716983,4.4882298,-.88811535,8.199544,11.993359,0,0,2.3366425,9.0283012,0,2.7130344,.65669537,.24108407,.22882561,145.71841,4.7005939,25.816902,37.225407,4.2376137,15.996092,7.6249356,8.1656122,.021536274,.0006947185,5.3378863
