time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,AL013,AL,Kukës,-.66063017,-4.7343988,-13.723634,3.9039173,11.730896,0,0,26.496315,16.160629,0,4.0952249,-.0024112947,-.15369704,-.17700067,19.574997,.63145155,7.1665611,10.419704,17.998343,-88.835556,-85.954849,-92.803299,.0029470522,.0000950662,1.4814441
1990-01-31,AL015,AL,Shkodër,3.3429446,-.43309036,-6.2526655,8.2494078,15.328079,0,0,18.254009,12.157055,0,3.4090314,-.60802299,-.72517681,-.73526371,50.451691,1.6274738,17.914173,30.678778,17.930805,-118.06501,-117.301,-125.82679,.00035583664,.000011478602,1.5748798
1990-01-31,AL014,AL,Lezhë,4.5580211,.77807564,-4.8852177,9.5063763,15.671995,0,0,15.540901,10.941979,0,3.3756962,-.92122567,-.91507089,-.93483299,16.500065,.53226018,7.1113806,8.6395569,17.867538,-108.77609,-107.65327,-113.42581,.000086871027,2.8022912e-06,1.8159869
1990-01-31,AL011,AL,Dibër,.2544724,-4.1624823,-11.460042,5.6512365,12.588708,0,0,24.782572,15.245527,0,3.9203079,-.23640744,-.20822451,-.24929595,15.754973,.50822496,9.0803337,9.9091139,18,-102.8123,-100.85617,-107.66639,.001146456,.000036982448,1.4812269
1990-01-31,AL012,AL,Durrës,5.4007711,1.9280878,-3.4930179,9.8946733,15.745482,0,0,13.12252,10.099229,0,3.2526147,-.8912347,-.88537449,-.90451562,14.527325,.46862337,5.6750784,6.7205858,17.771734,-108.1714,-107.9451,-113.35146,4.1288257e-07,1.3318792e-08,1.9663806
1990-01-31,AL021,AL,Elbasan,1.9410893,-2.5325618,-8.6871643,7.476944,13.402888,0,0,23.432751,13.55891,0,3.5922723,-1.0279077,-1.0782,-1.0923622,11.764455,.37949854,6.5415673,6.6873393,18,-88.318939,-88.761444,-95.14183,.00032188155,.000010383275,1.6652286
1990-01-31,AL022,AL,Tiranë,4.4359593,.54086238,-4.953577,9.5774364,15.527337,0,0,15.816283,11.06404,0,3.4272738,-1.1340742,-1.1316923,-1.1462468,13.678622,.44124585,6.3437562,6.8984833,17.858498,-100.84333,-100.74097,-106.39891,.00001263545,4.0759514e-07,1.892527
1990-01-31,AL034,AL,Korcë,-.29497257,-4.6164575,-10.777923,4.1812563,9.390666,0,0,27.025213,15.794972,0,3.3239119,-.2409315,-.3981871,-.42471051,7.4631619,.24074717,3.1008816,3.2286954,18.647655,-75.527092,-77.867264,-82.369827,.00095899741,.0000309354,1.3590111
1990-01-31,AL031,AL,Berat,3.5036848,-1.2334487,-6.7901673,9.3770714,15.014214,0,0,21.289806,11.996315,0,3.5471697,-1.5436281,-1.5117062,-1.5112685,7.0061646,.2260053,3.1375856,3.2287283,18.546,-73.468094,-76.283119,-81.56398,.000021639164,6.9803752e-07,1.6654103
1990-01-31,AL032,AL,Fier,6.4931002,2.8418763,-1.3298887,11.190498,16.341118,0,0,5.7671156,9.0068998,0,3.2501786,-1.5616544,-1.4934959,-1.5041587,9.3417759,.30134758,3.9971888,4.0750256,17.331017,-70.860916,-74.360222,-78.25795,2.7669066e-07,8.9255057e-09,2.1402373
1990-01-31,AL035,AL,Vlorë,6.6753473,3.4006603,.23487836,10.193341,14.852077,0,0,3.666676,8.8246527,0,2.4145801,-.89980119,-.86957216,-.89404106,19.492107,.62877768,7.9398141,10.371551,22.004103,-106.04704,-114.79149,-120.12074,2.1871998e-07,7.0554833e-09,1.9367614
1990-01-31,AL033,AL,Gjirokastër,3.3290591,-1.4216424,-6.1528282,8.3828278,13.805145,0,0,19.556372,12.17094,0,2.9407156,-.93205011,-.93895304,-.9557305,13.707626,.4421815,5.8442993,7.0437479,21.199179,-112.9735,-118.86547,-125.71942,9.3371782e-06,3.0119929e-07,1.4256703
1990-02-28,AL013,AL,Kukës,3.9192038,-1.3431283,-8.9872141,9.5026169,16.195692,0,0,18.13048,11.580796,0,2.7666159,3.5294104,2.8156862,2.6696005,56.383739,2.013705,15.831283,21.478886,10.213947,-52.255451,-53.365852,-51.826637,.03205974,.0011449908,1.6917754
1990-02-28,AL015,AL,Shkodër,7.3020887,2.1073773,-3.8499365,12.754052,19.613121,0,0,6.4758477,8.1979113,0,2.4136288,2.5760207,1.969386,1.8652115,84.890793,3.0318141,23.436008,37.277851,10.808974,-88.531998,-90.302986,-87.71431,.013931129,.00049754034,1.7646961
1990-02-28,AL014,AL,Lezhë,8.3011456,3.4435997,-.55793601,13.483776,19.344074,0,0,4.5051799,7.1988544,0,2.2053983,2.151876,1.6645639,1.565937,58.674004,2.0955,23.217299,36.416786,10.423705,-66.648758,-68.343437,-66.787895,.0022409211,.0000800329,2.1286447
1990-02-28,AL011,AL,Dibër,4.6294379,-.62736827,-7.0976887,10.276546,16.594398,0,0,17.548517,10.870563,0,2.4419382,3.3063424,2.6855404,2.5381401,59.954029,2.1412153,21.624882,32.26218,10.006761,-57.786182,-58.314571,-56.826996,.026615907,.00095056806,1.6526567
1990-02-28,AL012,AL,Durrës,8.8827591,4.4431667,.84992862,13.586728,19.123434,0,0,3.0922632,6.6172409,0,2.115181,2.022275,1.5650744,1.4727973,57.496449,2.0534446,25.093298,38.266167,10.913065,-65.458199,-67.611877,-66.060204,9.5915439e-06,3.4255513e-07,2.3337278
1990-02-28,AL021,AL,Elbasan,6.2217216,.5295248,-3.8338046,12.201062,18.336555,0,0,12.864866,9.2530956,0,2.3791246,2.3939707,1.825281,1.705652,60.685932,2.1673548,24.010433,34.004402,11.29362,-39.675282,-42.295361,-41.457218,.018597234,.00066418695,1.6327051
1990-02-28,AL022,AL,Tiranë,8.2938328,3.2139623,-.59645879,13.679852,19.454576,0,0,4.8447404,7.2019892,0,2.2384095,2.0018852,1.5208743,1.4254309,58.26696,2.0809629,24.97217,37.550014,10.995989,-57.166458,-59.832489,-58.553192,.0028234818,.00010083864,2.0555344
1990-02-28,AL034,AL,Korcë,3.7257071,-1.2242978,-6.2349887,8.8180971,14.645175,0,0,19.27915,11.774293,0,2.3130543,3.0866411,2.4156771,2.2752912,46.965061,1.6773237,17.595608,25.134134,11.106097,-37.947414,-40.480213,-39.396732,.031467196,.0011238285,1.5824472
1990-02-28,AL031,AL,Berat,7.6673956,1.4858502,-2.8837118,14.036477,19.81101,0,0,8.0375195,7.7474952,0,2.3313046,1.8036927,1.3520284,1.2568913,47.106087,1.6823602,19.409147,27.711533,13.814475,-38.087471,-43.600143,-42.661907,.0068681538,.00024529122,1.7280728
1990-02-28,AL032,AL,Fier,10.197495,5.2642503,1.4354473,15.258716,19.755989,0,0,.67035264,5.2494969,0,1.981004,1.5569525,1.1714035,1.0873544,37.218407,1.3292288,15.97193,26.953407,14,-47.400043,-51.959362,-50.633492,.000012980548,4.6359102e-07,2.3161008
1990-02-28,AL035,AL,Vlorë,9.3969078,5.2372403,1.946532,13.424152,17.8892,0,0,.77825916,6.1030922,0,1.7643108,1.5822946,1.2306484,1.139689,54.329563,1.9403415,22.206871,34.228825,14,-74.717674,-81.886055,-80.597343,.00060918945,.000021756765,2.1889503
1990-02-28,AL033,AL,Gjirokastër,6.8893051,1.0728352,-3.3610375,12.39912,18.001455,0,0,10.303779,8.6106949,0,2.236254,1.9874599,1.5607383,1.4569063,63.165813,2.2559221,22.801229,37.361279,13.978361,-66.70475,-73.450554,-72.327461,.010289329,.00036747605,1.5320386
1990-03-31,AL013,AL,Kukës,7.3330426,1.548355,-8.3661861,13.17707,19.063347,0,0,9.0800524,8.1669569,0,3.7354946,3.1884797,2.6463594,2.6223586,51.388184,1.6576833,17.747549,28.602112,8.8292828,-59.263512,-64.879585,-62.887383,.013109239,.00042287869,1.6578971
1990-03-31,AL015,AL,Shkodër,10.899604,5.8438492,-1.077394,15.976867,21.730146,0,0,2.3219218,4.8168588,0,2.7580261,2.6104846,2.1499965,2.1250937,45.161758,1.4568309,16.95602,26.802559,12.018608,-117.59862,-126.69089,-121.90955,.0016044702,.000051757102,1.6586474
1990-03-31,AL014,AL,Lezhë,11.312858,6.2838297,.093420021,16.491936,20.98991,0,0,2.0458016,4.3861861,0,2.3786581,2.2045844,1.8220284,1.8027283,33.649483,1.0854671,11.016942,20.018631,17.010427,-90.672783,-97.830223,-94.615112,.0001927147,6.2166032e-06,1.8017033
1990-03-31,AL011,AL,Dibër,8.202405,2.3893054,-4.4713473,14.072456,19.237474,0,0,7.8512168,7.3617601,0,2.9727907,3.3262918,2.7961259,2.7535257,40.404285,1.303364,12.808554,22.163219,18.1495,-76.726807,-84.516388,-81.819893,.0025833696,.000083334504,1.5659417
1990-03-31,AL012,AL,Durrës,11.627971,7.0309248,1.0911989,16.31212,20.670691,0,0,1.5449899,4.0539799,0,2.2297158,2.0291941,1.6588682,1.6418755,31.79311,1.0255842,9.3403845,17.681215,16.770212,-90.005363,-97.360626,-94.251442,7.4568007e-08,2.4054194e-09,1.9294897
1990-03-31,AL021,AL,Elbasan,9.7602892,3.5359907,-2.8789115,15.967772,21.004484,0,0,5.0860605,6.040061,0,2.7177351,2.5635629,2.1100543,2.0807533,31.49231,1.0158809,11.056911,16.060997,18.21092,-73.609962,-79.318954,-76.763405,.00081571256,.000026313308,1.6226629
1990-03-31,AL022,AL,Tiranë,11.381765,6.0362782,.049039871,16.811129,21.510517,0,0,1.9060969,4.4070625,0,2.3692067,2.1128929,1.7349316,1.7172928,31.62129,1.0200416,10.073308,17.753389,15.656873,-85.703117,-92.552361,-89.596642,.000023701605,7.6456786e-07,1.8027936
1990-03-31,AL034,AL,Korcë,6.9033914,1.2878156,-5.085134,12.661412,17.603552,0,0,8.3926744,8.5966091,0,2.9780421,2.9653106,2.3749931,2.3260236,25.256403,.81472266,10.32066,13.328058,22.437069,-62.350479,-67.551903,-65.338943,.0017071858,.000055070512,1.7473813
1990-03-31,AL031,AL,Berat,10.949044,4.4419231,-1.8917427,17.474253,22.376289,0,0,3.6923747,5.0575075,0,2.5348496,1.9627063,1.586807,1.5724777,23.345936,.75309473,7.8440681,10.632068,20.172594,-73.100166,-78.384377,-75.654198,.000021693477,6.9978961e-07,1.7193176
1990-03-31,AL032,AL,Fier,12.894553,7.8681283,2.5451357,18.044888,23.29649,0,0,.20587507,3.178791,0,2.1181245,1.6018119,1.2625124,1.2518643,22.73571,.73341,7.6888766,11.602567,18.129414,-70.045242,-72.673134,-70.045921,-1.7309743e-07,-5.5837881e-09,2.1705084
1990-03-31,AL035,AL,Vlorë,11.675029,7.3888116,2.928817,15.691974,20.381346,0,0,.25213721,3.9845393,0,1.8316392,1.6466613,1.302999,1.2777951,17.396132,.56116551,6.0494318,11.154593,20.873312,-105.31918,-112.45475,-107.92883,-1.7175161e-07,-5.5403744e-09,2.1500361
1990-03-31,AL033,AL,Gjirokastër,9.9098969,3.8170731,-1.9809285,15.496328,20.366367,0,0,4.7267394,5.7935824,0,2.387428,2.1250701,1.7316731,1.7002109,17.038866,.54964089,4.9735456,9.7347164,19.780344,-110.16175,-119.44598,-114.51982,2.5612051e-06,8.2619522e-08,1.5850867
1990-04-30,AL013,AL,Kukës,8.2767658,3.9388125,-1.3260211,12.599377,17.65929,0,0,2.434243,7.2232337,0,2.3542793,-.40746197,-.80863953,-.70585972,162.35234,5.4117446,38.709671,62.80941,3.5549734,47.410042,49.677872,46.967636,.012948717,.00043162389,1.6928532
1990-04-30,AL015,AL,Shkodër,12.004854,8.7411928,4.6433477,15.206848,19.007832,0,0,.20482004,3.6518998,0,1.5544938,-.29779655,-.70328486,-.61780018,352.33319,11.74444,87.184761,158.33868,3.5130887,190.85443,200.24602,192.99606,.0016754474,.000055848246,1.8147007
1990-04-30,AL014,AL,Lezhë,12.589762,9.1651525,5.8646703,16.131609,19.240896,0,0,.023158411,3.0455103,0,1.5594949,.016443787,-.30921397,-.25106087,201.25836,6.708612,44.157326,67.00251,3.8521054,72.882011,76.021271,72.959366,.00017802994,5.9343311e-06,2.2097731
1990-04-30,AL011,AL,Dibër,9.1238518,4.9831023,1.253031,13.303453,17.271738,0,0,1.0430692,6.4141278,0,2.0009212,-.02828523,-.40946203,-.34479141,179.90114,5.9967046,37.483238,56.79747,3.8629129,51.876339,53.731632,51.30249,.0044150637,.00014716879,1.6593577
1990-04-30,AL012,AL,Durrës,12.964781,9.8198175,6.7457438,16.217743,19.169348,0,0,0,2.6607859,0,1.5040934,.088158675,-.22440034,-.17234793,191.65131,6.3883767,44.688148,66.516632,3.9996195,66.765236,69.337852,66.499748,3.7665643e-07,1.2555215e-08,2.4571257
1990-04-30,AL021,AL,Elbasan,11.059959,6.7375002,3.5368319,15.43831,19.309872,0,0,.00070419023,4.6605625,0,1.9042264,.014025202,-.33444697,-.27970368,136.96443,4.5654812,38.369751,65.938492,4.4597645,26.353205,27.35405,26.112326,.00084373145,.000028124383,1.6534674
1990-04-30,AL022,AL,Tiranë,12.760804,9.1191778,5.9972515,16.531651,19.808945,0,0,0,2.9386747,0,1.6336076,.078258239,-.24300723,-.18962111,172.81924,5.7606416,43.097378,68.669495,4.2360697,52.407921,54.407188,52.17635,.000020269246,6.7564150e-07,2.1722109
1990-04-30,AL034,AL,Korcë,8.1435442,3.9445014,.68944103,12.512673,16.370415,0,0,.077890366,7.3564558,0,1.9133866,.075508088,-.31400099,-.27426162,104.79598,3.4931993,24.291395,47.631695,3.8006527,11.076874,10.165401,9.7155781,.00076228828,.00002540961,1.7498728
1990-04-30,AL031,AL,Berat,12.686899,8.2229395,4.5876756,17.223333,21.446896,0,0,0,3.2658007,0,1.8993419,.14701504,-.17800272,-.13088182,102.05042,3.4016809,35.843231,56.693604,4.049686,3.9579356,3.6560829,3.5434308,.000013162133,4.3873774e-07,1.8757761
1990-04-30,AL032,AL,Fier,14.93267,11.44562,8.1770105,18.6168,22.670107,0,0,0,1.248058,0,1.631508,.30721575,.020858161,.064394817,95.914177,3.1971393,33.899155,54.338009,4.1413488,12.04706,11.830854,11.381717,1.6763806e-07,5.5879354e-09,2.70825
1990-04-30,AL035,AL,Vlorë,13.307885,10.464595,7.7176905,16.070747,18.911339,0,0,0,2.397336,0,1.5134521,.1579925,-.13811956,-.10429403,136.03198,4.5343995,43.408981,61.414356,4.2433062,36.844803,35.174629,34.932537,1.6763806e-07,5.5879354e-09,2.7824249
1990-04-30,AL033,AL,Gjirokastër,11.203286,7.2963939,4.0728278,15.079128,18.428501,0,0,0,4.3096027,0,1.7603787,-.059427649,-.40790713,-.36355898,143.48293,4.7827644,49.459057,69.761154,4.902885,29.728218,28.904776,28.622818,1.2124090e-06,4.0413635e-08,1.8537058
1990-05-31,AL013,AL,Kukës,13.03727,8.0436583,2.897794,17.816755,25.421541,0,0,.54882401,3.1669657,0,2.8478208,-.71186936,-.79150504,-.75469589,83.285027,2.6866138,14.380264,23.904295,5.7069459,-14.820063,-24.96398,-22.670986,.000076098513,2.4547908e-06,1.4530107
1990-05-31,AL015,AL,Shkodër,16.776026,12.687112,6.820715,20.48024,26.103653,0,0,.016931314,.89215279,0,2.4990873,-.42294386,-.53524429,-.51228958,61.812874,1.9939637,13.6926,19.358807,10.718184,-40.844582,-61.088833,-57.94392,1.0163253e-06,3.2784687e-08,1.4623066
