time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,CY000,CY,Kýpros,9.7530603,6.6575813,3.4192567,13.07706,16.062553,0,0,.33729976,5.7469397,0,1.4150105,-1.4075787,-1.7409198,-1.7464695,28.382105,.91555178,7.96628,14.722929,13.953335,-30.230694,-34.689659,-33.532963,7.7317497e-07,2.4941128e-08,2.6116173
1990-02-28,CY000,CY,Kýpros,10.792075,7.9354291,4.6843309,13.942559,17.404572,0,0,.054685969,4.7079248,0,1.4005678,-.52439749,-1.1512711,-1.1595812,76.59726,2.7356164,19.440102,38.597427,8.5818262,24.905792,25.74301,25.988779,.000011708489,4.1816031e-07,3.2756753
1990-03-31,CY000,CY,Kýpros,13.590572,9.5829144,7.2955141,17.970743,21.426674,0,0,0,2.339844,0,1.287129,.11068171,-.61004841,-.58271712,19.297077,.62248635,9.2189217,11.570071,18.02454,-20.599787,-17.263578,-16.642696,-1.7322600e-07,-5.5879354e-09,2.5835636
1990-04-30,CY000,CY,Kýpros,16.911987,12.20525,8.1435118,21.677937,30.812576,0,0,0,.83856714,0,3.2780905,-.18189874,-.59820187,-.5905745,4.998673,.16662243,1.2363472,1.5515059,25.404318,-18.235584,-21.658688,-20.716749,1.6763806e-07,5.5879354e-09,2.6036239
1990-05-31,CY000,CY,Kýpros,21.235867,16.447216,10.230421,25.882776,35.183754,2.3595228,0,0,.021572245,.62969637,4.118269,-.13716148,-.61441165,-.64573002,7.0903912,.22872229,5.074697,6.1618223,18.775179,-10.03822,-16.293251,-15.053786,8.6612999e-08,2.7939677e-09,2.3660958
1990-06-30,CY000,CY,Kýpros,25.188623,20.544096,13.454661,29.759489,34.666447,2.2026005,0,0,0,3.140255,2.8251865,-.5790903,-.93192029,-.87699246,1.4136876,.047122922,.65077114,.89540076,28.015814,-4.366611,-4.5720844,-4.3713975,0,0,2.5145125
1990-07-31,CY000,CY,Kýpros,27.959011,23.493959,21.435545,32.458733,34.755581,5.3587832,0,0,0,5.4666414,1.0245954,-.51251835,-.93942529,-.93854219,.35804537,.011549851,.31989855,.3293502,30.289234,-1.7908244,-1.5830029,-1.4824548,8.6612999e-08,2.7939677e-09,2.2124825
1990-08-31,CY000,CY,Kýpros,27.934034,23.629271,21.767683,32.679653,35.240612,6.9971004,0,0,0,5.4580851,1.136515,-.53994721,-1.0398109,-1.0390542,4.0054231,.12920719,3.6078672,3.9823618,24.798227,2.1614208,1.710505,1.6502703,0,0,2.2354908
1990-09-30,CY000,CY,Kýpros,25.126146,21.216866,19.016565,29.827644,33.849689,1.1786156,0,0,0,3.2862666,1.5268867,-.57937831,-1.0700434,-1.0288733,1.7145258,.057150859,.88241452,1.2410353,24.640524,-4.5359082,-6.9087415,-6.743681,-1.6763806e-07,-5.5879354e-09,2.1519482
1990-10-31,CY000,CY,Kýpros,22.105671,18.318209,14.464662,26.698946,31.373896,0,0,0,.0092687085,.77207345,2.072824,.40282398,-.24173413,-.23404086,13.146384,.42407688,6.7258534,10.633631,21.474201,-15.104185,-15.905552,-14.705263,0,0,2.3059618
