time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,EE001,EE,Põhja-Eesti,-1.8932283,-4.6032848,-15.827616,.24316931,3.5480833,0,0,23.839266,17.393229,0,4.1394324,1.6919055,1.1299897,1.0814803,93.776817,3.0250585,17.799337,29.642067,3.9225104,39.506802,40.257,38.711926,.05621279,.0018133158,5.1952777
1990-01-31,EE004,EE,Lääne-Eesti,.21032323,-1.9279267,-10.840729,2.2044666,4.8911452,0,0,18.978659,15.289677,0,2.851274,3.0496264,2.6754982,2.5861886,98.424469,3.1749828,17.324638,29.320976,4.0768256,40.008518,43.137173,41.754208,.040394306,.0013030422,5.3451519
1990-01-31,EE009,EE,Kesk-Eesti,-2.5743239,-5.5625148,-18.246073,-.23414905,3.2463024,0,0,26.026764,18.074324,0,4.5651884,1.7322984,1.2596666,1.2125911,89.765816,2.8956716,15.242854,24.824068,3.9592235,35.2257,36.399082,35.061077,.061612457,.0019874987,4.4731669
1990-01-31,EE00A,EE,Kirde-Eesti,-3.7189217,-6.6109653,-20.338945,-1.2876984,3.1737487,0,0,25.065126,19.218922,0,5.6353841,.92109084,.2229225,.20598002,80.847237,2.6079752,10.974852,18.625616,4,26.936813,25.966473,24.854099,.057534628,.0018559557,4.9298182
1990-01-31,EE008,EE,Lõuna-Eesti,-2.3814735,-5.0883088,-17.614948,-.030105531,3.4380753,0,0,25.903193,17.881474,0,4.7285757,2.1852562,1.7198118,1.6704985,85.175018,2.7475812,11.857214,19.412188,4.0152664,31.674093,32.884357,31.861853,.054779951,.0017670952,4.595006
1990-02-28,EE001,EE,Põhja-Eesti,2.2084162,.59034967,-5.9456592,3.7274826,8.0498056,0,0,8.5794868,13.291584,0,2.696949,6.8904691,6.0887175,5.9527392,95.914055,3.4255018,27.606562,29.465593,3.950479,56.360077,52.267673,51.101242,.015274272,.00054550974,5.876164
1990-02-28,EE004,EE,Lääne-Eesti,2.9588497,1.2831383,-4.4185319,4.5907569,8.9835224,0,0,7.7425022,12.54115,0,2.6745992,6.8642454,6.2497125,6.10887,82.853683,2.9590602,18.672531,24.565983,3.9910963,40.447575,35.484623,35.349648,.013198976,.00047139201,6.0493593
1990-02-28,EE009,EE,Kesk-Eesti,2.0856864,.23719963,-6.993463,3.8998983,9.4848862,0,0,10.669938,13.414313,0,3.0775869,7.2247701,6.5108685,6.3820715,91.499733,3.2678475,23.056419,26.910204,3.3238978,50.652702,46.755135,45.823677,.020518057,.00073278777,5.1202517
1990-02-28,EE00A,EE,Kirde-Eesti,1.7500023,.064494833,-7.9293499,3.3316066,8.0883341,0,0,10.970328,13.749998,0,2.9201059,7.2271819,6.371366,6.2734938,91.825539,3.2794836,16.986193,22.360817,3,51.110275,47.402431,45.86795,.024533615,.0008762005,5.5910964
1990-02-28,EE008,EE,Lõuna-Eesti,2.3585684,.45334539,-7.3342819,4.2354679,9.6076183,0,0,10.473711,13.141432,0,3.3013403,7.5730538,6.8833027,6.7476077,77.00782,2.7502794,14.574736,21.235615,3.8284173,35.7747,31.800131,31.439692,.018568842,.00066317292,5.3129587
1990-03-31,EE001,EE,Põhja-Eesti,2.1040921,-.29976252,-9.9080181,4.2411056,11.553068,0,0,16.799038,13.395907,0,2.7592874,3.4096992,2.9172444,2.7907104,72.919548,2.3522434,11.253155,20.055328,7,32.43766,33.831661,32.778534,.024332117,.00078490697,6.0126081
1990-03-31,EE004,EE,Lääne-Eesti,3.0197301,.40466648,-8.5904694,5.3934088,11.417695,0,0,13.623899,12.48027,0,2.7926555,3.7052743,3.257314,3.1212957,66.604477,2.1485314,8.9665823,18.409468,6.2416611,22.159245,23.926262,23.097591,.018064154,.00058271468,6.104485
1990-03-31,EE009,EE,Kesk-Eesti,1.9686919,-1.0418274,-10.427647,4.6210933,13.374171,0,0,18.923903,13.531308,0,3.326654,3.319823,2.95716,2.8378394,74.363007,2.3988068,10.302231,19.066734,6.8660111,30.475948,32.523586,31.408449,.030614944,.00098757877,5.1256609
1990-03-31,EE00A,EE,Kirde-Eesti,1.6562338,-.7740097,-10.550574,3.7922547,12.526316,0,0,18.418747,13.843766,0,3.1402149,3.4138527,3.0105155,2.8967822,66.647484,2.149919,8.5557842,16.040565,6.8925433,22.772409,24.592285,23.567438,.028095381,.00090630265,5.6754298
1990-03-31,EE008,EE,Lõuna-Eesti,2.3273721,-1.0887556,-11.974241,5.1022735,14.45154,0,0,17.202879,13.172628,0,3.5547445,3.3568718,3.02213,2.9055357,77.37925,2.496105,9.8591909,17.470758,5.0361791,31.672972,34.485798,33.199375,.03423924,.0011044916,5.3367853
1990-04-30,EE001,EE,Põhja-Eesti,6.0548954,2.0464981,-2.5040479,9.9013214,15.024391,0,0,6.0032258,9.4451046,0,2.8890274,1.9117916,1.6173826,1.5698907,24.583179,.81943935,7.755486,9.6678991,10.516562,-14.661888,-16.336246,-15.647817,.0048269853,.00016089951,4.0331311
1990-04-30,EE004,EE,Lääne-Eesti,7.005343,2.5081944,-2.1816294,11.080921,16.720661,0,0,6.6448736,8.4946575,0,3.3069165,2.0163121,1.715149,1.6686503,19.622141,.65407133,4.4590106,8.4833202,9.0344543,-22.533405,-23.401409,-22.500225,.0017368257,.000057894191,3.9190526
