time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,HR031,HR,Primorsko-goranska županija,.86435592,-2.067662,-8.2627993,4.4165826,9.7254353,0,0,22.195297,14.635644,0,3.9265862,.27634451,-.3809469,-.36909723,74.672913,2.4088037,35.682884,46.795666,22.234972,-37.170551,-38.226494,-39.849468,.00037459543,.000012083724,2.1430542
1990-01-31,HR032,HR,Ličko-senjska županija,.60614163,-2.7569468,-8.5424156,4.8129506,11.150492,0,0,22.842855,14.893858,0,4.3516021,.21114869,-.52614397,-.51931745,26.660589,.86001897,13.4622,17.807543,21.378395,-73.002571,-78.480896,-78.555862,.0012588261,.000040607294,1.8786217
1990-01-31,HR033,HR,Zadarska županija,3.9667428,.6735605,-3.6056206,8.3001699,13.717926,0,0,17.094696,11.533257,0,3.9223804,-.18934618,-.82364208,-.81259739,22.926285,.73955756,10.256311,14.562028,24.001093,-76.56221,-81.605484,-81.817963,.000073470714,2.3700231e-06,2.3538506
1990-01-31,HR034,HR,Šibensko-kninska županija,3.9864097,.46881309,-3.3872511,8.5786953,13.608525,0,0,20.306198,11.51359,0,3.8573613,-.29061812,-.88176483,-.8634584,9.2976437,.29992399,3.7574379,5.573751,24.955566,-82.283257,-88.422874,-88.944702,.00006058798,1.9544509e-06,2.2203822
1990-01-31,HR035,HR,Splitsko-dalmatinska županija,3.1999786,-.3953307,-4.3508387,7.8515639,12.3739,0,0,19.773533,12.300021,0,3.5733006,.0075947889,-.54013926,-.52958202,23.045527,.74340409,8.4811621,15.276889,24.636305,-94.558617,-101.74399,-102.67456,.000071983653,2.3220534e-06,1.8150591
1990-01-31,HR036,HR,Istarska županija,5.5425525,3.612416,-.40167522,7.802207,12.456636,0,0,6.8790231,9.957448,0,2.9982138,.2930651,-.11033467,-.1120678,37.073208,1.19591,14.342284,19.638372,23.571051,-45.015392,-45.620098,-47.418167,3.4565098e-06,1.1150032e-07,2.516638
1990-01-31,HR037,HR,Dubrovačko-neretvanska županija,5.8223319,2.7526488,-1.4612902,9.5743532,14.170834,0,0,8.202446,9.6776676,0,3.2033913,-.33496556,-.6123749,-.61003953,57.428864,1.852544,26.603327,49.875427,25.111122,-78.456802,-86.774437,-88.929276,3.2733449e-06,1.0559177e-07,2.3416038
1990-01-31,HR050,HR,Grad Zagreb,.2795907,-2.9909046,-8.5204449,3.6242151,13.59803,0,0,24.188662,15.220409,0,4.6938167,-.1287173,-.73761749,-.76278812,28.930269,.93323445,20.476818,20.674938,17,-21.669329,-23.18824,-22.969276,.0023081827,.000074457508,1.5476786
1990-01-31,HR065,HR,Zagrebačka županija,.25819188,-3.0555639,-8.4197178,3.7119896,13.665663,0,0,24.388391,15.241808,0,4.6525764,-.14986546,-.76763821,-.79166782,28.14728,.90797681,19.783186,19.984152,17.012714,-23.456741,-25.034323,-24.801382,.0023321775,.000075231532,1.5063932
1990-01-31,HR064,HR,Krapinsko-zagorska županija,.14858258,-3.019944,-8.6401396,3.431952,13.025159,0,0,23.90958,15.351418,0,4.6290426,-.12629116,-.7546944,-.77843606,33.691311,1.0868164,22.825798,23.232462,17,-14.495738,-15.501967,-15.479012,.0038097845,.00012289628,1.5953118
1990-01-31,HR062,HR,Varaždinska županija,-.12404611,-3.3303108,-9.9772196,3.3780925,12.725443,0,0,23.074598,15.624046,0,5.0958343,-.26370561,-.81796044,-.84398776,29.96022,.96645868,20.834133,21.63743,17,-13.44492,-14.936967,-14.915943,.0033031602,.00010655355,1.9299308
1990-01-31,HR063,HR,Koprivničko-križevačka županija,.16709667,-2.9542203,-9.6141243,3.4942958,13.57241,0,0,23.273504,15.332903,0,5.2928944,-.24390343,-.72991073,-.76034999,26.207951,.84541774,19.716448,19.977814,19.760824,-19.058401,-20.50342,-20.360096,.0021854215,.000070497474,2.0426524
