time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,IS001,IS,Höfuðborgarsvæði,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-31,IS002,IS,Landsbyggð,-1.3618814,-3.4175248,-13.089712,.70119321,5.7181096,0,0,26.657335,16.861881,0,2.7974279,1.8547015,1.196051,1.1775481,248.91766,8.0296021,26.476112,49.852692,1.9895909,92.522209,88.185402,86.213509,.20054184,.0064690914,3.2301519
1990-02-28,IS001,IS,Höfuðborgarsvæði,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-28,IS002,IS,Landsbyggð,-3.5722899,-5.9719915,-14.218044,-1.6342931,1.7880234,0,0,27.451502,19.07229,0,3.0443568,-.48298192,-1.0941129,-1.1172845,205.33711,7.3334684,31.551369,56.559731,1.8672487,88.083084,73.158997,70.850143,.19642884,.0070153158,3.0735178
1990-03-31,IS001,IS,Höfuðborgarsvæði,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-31,IS002,IS,Landsbyggð,-4.6878705,-7.7395658,-14.576486,-1.6892574,3.5313184,0,0,30.967533,20.18787,0,3.2069738,-2.3242056,-2.7967057,-2.7591393,105.6805,3.4090483,19.472719,23.382549,3.0100358,-20.091248,-15.698504,-15.181886,.093592025,.0030190975,3.2912917
1990-04-30,IS001,IS,Höfuðborgarsvæði,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-30,IS002,IS,Landsbyggð,-1.7897917,-4.4043365,-14.296803,.55204457,5.2722106,0,0,29.028143,17.289791,0,3.1243684,-1.4587804,-1.7892064,-1.7342037,60.848034,2.0282679,10.054123,17.627655,3.1860096,-35.892193,-38.568939,-35.740364,.054772936,.0018257645,2.8260872
1990-05-31,IS001,IS,Höfuðborgarsvæði,,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-31,IS002,IS,Landsbyggð,3.4369357,.443755,-4.0002513,5.9450998,11.882912,0,0,12.77853,12.063065,0,1.7706311,.76568705,.38286904,.43842015,20.905733,.67437845,5.6241908,7.8340468,10.822851,-51.019032,-60.478378,-58.242332,.011130566,.00035905052,1.6871049
1990-06-30,IS001,IS,Höfuðborgarsvæði,,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-30,IS002,IS,Landsbyggð,7.1288867,4.8442864,1.5738257,9.263154,16.388353,0,0,.06196576,8.3711128,0,2.152127,.13920619,-.076828524,-.077167511,49.825581,1.6608527,9.3065872,16.84861,7.8677564,-13.602227,-22.48798,-22.734459,.0020285952,.00006761984,2.7591746
1990-07-31,IS001,IS,Höfuðborgarsvæði,,,,,,,,,,,,,,,,,,,,,,,,,
