time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,LI000,LI,Liechtenstein,-4.1064024,-10.228005,-16.440868,2.505563,6.9036388,0,0,30.406681,19.606401,0,3.7554669,.14216124,-.79417044,-.772609,42.897072,1.3837765,10.713899,15.695584,11,-74.809547,-73.464142,-74.488091,.028960675,.00093421538,1.242443
1990-02-28,LI000,LI,Liechtenstein,1.2284433,-3.9904954,-10.768647,6.7046628,13.256361,0,0,25.626722,14.271557,0,2.6493497,4.0063667,3.2945442,3.1142058,213.81842,7.6363721,54.823254,110.99124,9,99.223534,103.67352,102.116,.12620667,.004507381,1.5245285
1990-03-31,LI000,LI,Liechtenstein,2.6081531,-2.7697012,-12.999195,8.0566893,18.328711,0,0,23.880169,12.891847,0,3.7534313,1.4645822,.76422185,.75911051,110.74072,3.5722814,19.413929,34.609634,7.9665961,-34.194294,-21.450823,-20.617722,.064047493,.0020660481,1.2073327
1990-04-30,LI000,LI,Liechtenstein,2.9681847,-.79358602,-5.9714007,6.7099686,15.343586,0,0,18.880169,12.531816,0,2.3275025,-1.5984823,-2.6326449,-2.4771409,160.07588,5.3358626,18.337404,37.812099,2.4066808,24.410343,26.293125,26.849409,.084780313,.0028260103,1.1701611
1990-05-31,LI000,LI,Liechtenstein,10.415998,4.470891,-2.4306014,15.897691,19.787085,0,0,1.8133615,5.4525018,0,1.7721618,.79360574,.28178221,.35328487,131.14948,4.2306285,24.494392,36.29451,3.1866384,-56.790459,-63.48835,-62.098934,.0011890946,.000038357892,1.1080586
1990-06-30,LI000,LI,Liechtenstein,11.650685,6.8368025,1.9893701,16.269367,24.935698,0,0,0,4.1568174,0,3.3467119,-1.2314147,-2.0176384,-2.0123668,235.14587,7.8381958,26.092739,57.748955,2,9.1363468,10.096604,9.7266092,.0026442821,.00008814274,1.0497272
1990-07-31,LI000,LI,Liechtenstein,14.365881,8.520175,4.362812,19.502495,27.043575,0,0,0,2.4892888,0,2.7826517,-.61263669,-.9106527,-.86448193,195.03767,6.2915382,31.313818,58.205769,6,-39.557312,-22.720972,-25.781448,.00009887576,3.1895408e-06,1.1405462
1990-08-31,LI000,LI,Liechtenstein,14.42836,8.6681395,3.7859957,19.938381,25.978312,0,0,0,2.306335,0,2.4126747,-.0071521057,-.55664915,-.49966493,124.00828,4.000267,25.39521,33.156643,5.5933194,-100.8585,-101.27586,-99.566963,0,0,1.1491512
1990-09-30,LI000,LI,Liechtenstein,9.7488613,5.2411919,.86020356,14.281378,19.701616,0,0,.40668079,5.7511392,0,1.4705571,-1.2710937,-1.44515,-1.4438266,165.35513,5.5118375,33.539734,55.760525,3,3.48153,4.2797437,6.0207314,.00026509544,8.8365150e-06,1.0724796
1990-10-31,LI000,LI,Liechtenstein,8.5038595,4.2430277,-2.5924416,13.119528,19.985138,0,0,3.4400847,6.9961405,0,3.2943833,1.375246,1.142849,1.1374489,134.49152,4.3384361,24.871992,37.218632,7,18.652603,7.3012986,8.782258,.0074147317,.0002391849,1.2906235
1990-11-30,LI000,LI,Liechtenstein,-.51780808,-4.2201662,-13.441035,3.275959,10.418237,0,0,24.253447,16.017809,0,3.2927725,-1.2956545,-2.3383901,-2.2497425,162.96672,5.4322238,16.426992,39.013039,5,28.88888,33.428928,32.92675,.095065311,.0031688437,1.0939773
1990-12-31,LI000,LI,Liechtenstein,-5.7339907,-9.4292831,-20.003222,-2.2338486,4.5357494,0,0,30.406681,21.23399,0,3.6900225,-2.6087182,-3.313483,-3.2004504,105.4982,3.4031677,17.537788,32.801872,4,-22.6992,-23.638044,-23.33297,.094972819,.0030636394,1.2988763
1991-01-31,LI000,LI,Liechtenstein,-4.7865992,-8.9679117,-17.883041,.20216718,8.0535707,0,0,28.220043,20.2866,0,4.9260659,-.53803569,-1.4743674,-1.4528059,85.82412,2.7685199,16.317898,32.143036,13.253447,-31.882505,-30.537102,-31.561043,.054350086,.0017532285,1.2769191
1991-02-28,LI000,LI,Liechtenstein,-5.5966272,-10.61318,-21.947771,-.2447004,11.264968,0,0,28,21.096628,0,5.4837761,-2.8187034,-3.5305262,-3.7108645,45.782333,1.6350833,17.99439,24.081627,8.4400845,-68.812546,-64.362564,-65.920074,.04466942,.0015953365,1.158518
1991-03-31,LI000,LI,Liechtenstein,3.34709,-.20038331,-9.5509768,7.2422843,12.087824,0,0,14.846766,12.15291,0,2.4774246,2.2035191,1.5031588,1.4980475,96.520477,3.113564,21.840796,35.373909,5.4066806,-48.414536,-35.671066,-34.837963,.022098048,.00071284024,1.2757094
1991-04-30,LI000,LI,Liechtenstein,2.910408,-2.0787442,-13.1743,7.4803567,13.78374,0,0,19.066809,12.589592,0,3.6203489,-1.6562589,-2.6904216,-2.5349176,113.84158,3.7947195,20.67831,34.98138,4,-21.823956,-19.941175,-19.384892,.058279645,.0019426548,1.1806288
