time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,LT021,LT,Alytaus apskritis,.97572547,-1.0629346,-12.281922,2.5138752,8.335577,0,0,13.017088,14.524275,0,3.9099059,4.2353039,3.9958329,3.8813813,52.440098,1.6916161,6.5657806,13.360758,3.3970068,-.50511843,1.7666914,.78377324,.010607408,.00034217449,4.8106012
1990-01-31,LT022,LT,Kauno apskritis,1.1552911,-.7389096,-11.322864,2.6382391,8.0777693,0,0,11.414115,14.344709,0,3.7885814,4.1671157,3.9528408,3.8473043,66.012825,2.129446,7.112206,17.190807,3.2767646,10.205327,12.681466,11.444794,.014118263,.00045542786,4.7553997
1990-01-31,LT023,LT,Klaipėdos apskritis,2.2797236,.82829601,-7.5285316,3.6161258,7.6404686,0,0,7.0931001,13.220277,0,3.0903089,4.0641551,3.7753141,3.6741586,95.159531,3.0696623,12.043324,25.274223,5.8115916,27.032879,29.496334,28.628302,.012085325,.00038984921,5.8062983
1990-01-31,LT024,LT,Marijampolės apskritis,1.4898549,-.50144583,-11.025241,2.9674177,8.7728214,0,0,10.293761,14.010145,0,3.7483408,4.3179994,4.1006074,3.9883065,55.773529,1.7991461,5.8446393,13.538484,4.3012567,.6480726,3.3062284,2.5616441,.0097317714,.00031392812,4.8672042
1990-01-31,LT025,LT,Panevėžio apskritis,.66206872,-1.1678814,-11.434854,2.1731081,7.3739586,0,0,13.41866,14.837932,0,3.7084687,3.8975372,3.6630051,3.5675135,72.945229,2.3530719,7.8854899,16.991308,6.9049163,22.267916,23.773439,22.225903,.024214862,.00078112457,4.5273724
1990-01-31,LT026,LT,Šiaulių apskritis,1.043257,-.67426848,-10.254295,2.5294373,7.6713367,0,0,11.594863,14.456743,0,3.4755223,4.053031,3.8650236,3.7672315,69.2164,2.2327869,7.0201602,15.89802,6.8074064,19.094833,20.581396,19.342009,.017841587,.00057553506,4.7308035
1990-01-31,LT027,LT,Tauragės apskritis,1.5858579,-.27097932,-10.186984,3.118078,7.893034,0,0,9.8167076,13.914143,0,3.511626,4.3191833,4.0681844,3.9619317,84.743958,2.7336762,10.29664,22.191545,4.3005528,19.842659,23.148932,22.298775,.016156852,.00052118878,5.0886331
1990-01-31,LT028,LT,Telšių apskritis,1.3436655,-.27310836,-9.3368378,2.8203919,7.4268379,0,0,9.7948818,14.156335,0,3.3294702,4.1487627,3.9366333,3.8324044,95.687012,3.0866778,10.821349,24.17728,6.9935355,33.152508,35.743965,34.622097,.018586889,.00059957709,5.0611238
1990-01-31,LT029,LT,Utenos apskritis,-.15359019,-2.0562265,-13.07135,1.3703244,6.2614837,0,0,16.474167,15.65359,0,3.8944626,3.8071837,3.5522952,3.450309,77.406784,2.4969931,8.5956287,18.387487,5.3525367,21.870062,24.304655,22.910385,.032626424,.0010524653,4.643353
1990-01-31,LT011,LT,Vilniaus apskritis,.20195349,-1.7085218,-13.220975,1.7276349,7.0314322,0,0,14.961917,15.298046,0,3.9775362,4.0777779,3.8650663,3.7576256,70.261063,2.2664859,7.4230957,16.525928,3.1135392,13.104387,15.413333,14.049757,.024479058,.00078964705,4.7814288
