time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,LU000,LU,Luxembourg,2.4024889,.56840551,-4.2854853,4.0870156,10.21511,0,0,13.2795,13.097511,0,2.9985549,1.3663059,.83136392,.82279402,70.484978,2.2737091,18.09255,43.665638,8.1624384,-11.197766,-9.8541698,-10.810539,.002767934,.000089288194,4.022265
1990-02-28,LU000,LU,Luxembourg,5.9938545,2.7041187,-2.067497,9.9743195,16.696739,0,0,5.5432405,9.5061455,0,2.643795,4.3728938,3.8423464,3.6668942,130.64447,4.665874,22.597528,44.105968,9,63.697353,62.820625,60.938297,.0078512272,.00028040097,5.5937591
1990-03-31,LU000,LU,Luxembourg,6.9542308,3.143625,-1.7525469,10.690611,18.282879,0,0,3.1593888,8.5457687,0,3.1122749,1.9076161,1.5060554,1.460279,26.590425,.85775566,4.4392395,7.8650861,15.648705,-52.202793,-43.294788,-41.709976,.0032610211,.00010519423,4.0467939
1990-04-30,LU000,LU,Luxembourg,7.1328483,3.1810477,-2.4293573,10.876891,20.477633,0,0,4.2957664,8.3671522,0,2.836689,-1.2077343,-1.9464648,-1.8000536,70.65596,2.3551986,10.928655,20.681952,5.4006286,1.2124531,9.3333778,9.2383986,.00020632106,6.8773684e-06,3.6797454
1990-05-31,LU000,LU,Luxembourg,13.900077,8.4694977,3.0810905,18.911837,24.672108,0,0,0,2.6622922,0,2.6556282,1.3231676,.99784994,1.0576832,35.446468,1.1434344,15.232234,21.254335,8.9165106,-43.349106,-38.847691,-38.834934,8.6612999e-08,2.7939677e-09,2.8522024
1990-06-30,LU000,LU,Luxembourg,14.279946,10.672343,4.4536853,17.690626,27.889187,0,0,0,1.8661721,0,3.0000474,-1.1573305,-1.7770588,-1.7873889,101.26782,3.3755941,15.46231,21.332829,6.7976494,24.761339,28.046274,25.744202,0,0,3.0855591
1990-07-31,LU000,LU,Luxembourg,16.927872,11.39675,7.0167184,21.9375,29.754698,0,0,0,1.0271946,0,3.5302687,-.72854394,-1.1430227,-1.0744466,35.676868,1.1508667,11.0615,16.257065,17.83057,-39.576645,-37.077705,-39.449764,8.6612999e-08,2.7939677e-09,3.5485706
1990-08-31,LU000,LU,Luxembourg,18.446484,13.324079,7.4048676,23.362017,32.616306,0,0,0,.54398024,0,3.8722608,1.2440485,.79706568,.82409137,81.948311,2.6434939,31.30538,41.711147,12.631284,9.1626358,7.0887666,6.3307681,0,0,3.0643625
1990-09-30,LU000,LU,Luxembourg,11.741194,8.1092997,3.4248037,15.555244,20.494287,0,0,0,3.780849,0,1.9354707,-1.7352667,-2.0334437,-2.0087097,55.678947,1.8559649,10.844152,15.487357,11.952187,-16.266258,-12.94276,-12.07124,-1.6763806e-07,-5.5879354e-09,3.6006241
1990-10-31,LU000,LU,Luxembourg,10.423671,7.065979,1.3025908,14.085589,21.479099,0,0,0,5.0763292,0,3.1738074,1.0067195,.79277521,.76959628,90.565125,2.9214556,28.547291,46.425343,11.114549,11.732762,15.962481,14.993403,0,0,3.7570407
1990-11-30,LU000,LU,Luxembourg,4.6567955,2.780175,-2.444206,6.5264726,11.043339,0,0,6.1358442,10.843204,0,2.7565577,-.14474922,-.59918898,-.5490492,77.415916,2.5805306,14.244761,22.84733,6.256474,3.3938432,1.1091638,1.6247964,.0036328419,.00012109472,3.8225982
1990-12-31,LU000,LU,Luxembourg,1.1673996,-.4839178,-5.441124,2.8386934,9.9210339,0,0,15.575407,14.332601,0,2.9073627,-.7682085,-1.2456162,-1.2508402,100.67167,3.2474732,17.13736,28.61175,7.7173715,12.569686,4.6507783,4.8391743,.036064807,.0011633809,4.0326924
1991-01-31,LU000,LU,Luxembourg,1.2295264,-.712982,-7.5761971,3.3121037,11.60724,0,0,19.003189,14.270473,0,3.7755976,.19334345,-.3415986,-.3501685,91.945755,2.965992,15.841889,37.814465,10,10.263012,11.606608,10.650239,.0014944253,.000048207268,4.4863682
1991-02-28,LU000,LU,Luxembourg,-1.5619413,-4.3412418,-14.73866,1.6914099,13.628603,0,0,20.546749,17.061941,0,4.9493694,-3.1829021,-3.7134492,-3.8889015,33.47031,1.1953683,11.352463,13.96455,10.826717,-33.476807,-34.353535,-36.235863,.029169057,.0010417521,3.1844809
1991-03-31,LU000,LU,Luxembourg,7.2218809,3.795614,-2.6244359,10.706115,16.436335,0,0,4.1771398,8.2781191,0,2.4640403,2.175266,1.7737052,1.7279289,51.913132,1.6746171,17.031157,29.988035,7.7934713,-26.880089,-17.972082,-16.387272,6.4388132e-07,2.0770365e-08,3.4521756
1991-04-30,LU000,LU,Luxembourg,7.1686335,2.537488,-4.1883883,11.463026,19.220081,0,0,6.6009879,8.3313665,0,3.3939779,-1.1719488,-1.9106791,-1.764268,51.747406,1.7249135,18.846745,19.860382,8.1501141,-17.6961,-9.5751753,-9.6701546,.0025710932,.000085703105,3.6163785
1991-05-31,LU000,LU,Luxembourg,9.6925917,5.1959209,1.6191667,13.638677,21.993986,0,0,.0031215206,5.8074083,0,3.4167614,-2.8843176,-3.2096353,-3.149802,21.159077,.68255085,3.774627,8.1113539,14.213758,-57.636497,-53.135082,-53.122326,6.4709589e-06,2.0874060e-07,3.443687
1991-06-30,LU000,LU,Luxembourg,12.360983,8.727829,1.1827171,15.423591,20.766554,0,0,.017663555,3.3116465,0,2.4658885,-3.0762939,-3.6960223,-3.7063525,75.535858,2.5178621,8.4529181,15.650822,3.4319637,-.97062099,2.3143146,.012242102,5.1801471e-06,1.7267158e-07,3.920532
1991-07-31,LU000,LU,Luxembourg,18.712608,13.798097,10.706144,23.151312,32.190281,0,0,0,.42547581,0,3.1610184,1.0561916,.64171273,.71028894,56.413963,1.8198053,17.418886,25.859041,7.2612538,-18.83955,-16.340612,-18.712671,-4.3306500e-08,-1.3969839e-09,3.2692046
1991-08-31,LU000,LU,Luxembourg,18.458805,12.873748,7.9749951,23.989887,30.355686,0,0,0,.65656316,0,2.1539502,1.2563709,.80938816,.83641386,30.079834,.97031724,22.344095,25.993099,21.385624,-42.705841,-44.779713,-45.537708,0,0,2.9179857
1991-09-30,LU000,LU,Luxembourg,15.202286,10.385406,5.2008371,20.165024,27.458357,0,0,0,1.414602,0,2.9431934,1.7258251,1.4276483,1.4523821,56.471199,1.8823733,13.173882,31.217758,10.456331,-15.474006,-12.150508,-11.278988,0,0,3.0307567
1991-10-31,LU000,LU,Luxembourg,8.3163557,5.1920567,-.86001283,11.591168,19.112633,0,0,2.1984103,7.1836443,0,3.0313118,-1.1005958,-1.3145401,-1.3377191,43.479713,1.4025714,10.507216,15.651232,8.4559059,-35.352646,-31.122927,-32.092007,.000013518329,4.3607514e-07,3.2620115
1991-11-30,LU000,LU,Luxembourg,3.6556828,1.6070347,-2.9775443,5.7910452,11.82481,0,0,11.821746,11.844317,0,2.8834314,-1.1458619,-1.6003016,-1.5501618,92.295708,3.0765235,17.294146,30.340866,10.764324,18.273634,15.988955,16.504587,.00013876095,4.6253654e-06,4.2369938
1991-12-31,LU000,LU,Luxembourg,.9663828,-1.2229273,-8.183898,3.2827294,10.693336,0,0,19.802094,14.533617,0,3.6344061,-.96922541,-1.4466331,-1.4518571,63.145863,2.0369635,15.834316,34.556061,15,-24.956118,-32.875027,-32.68663,.0072040409,.00023238843,3.6665783
1992-01-31,LU000,LU,Luxembourg,1.0782828,-1.0050403,-7.3428187,3.3965628,10.014043,0,0,18.605324,14.421717,0,3.2133212,.042099942,-.49284211,-.50141197,24.225004,.78145176,6.0253229,11.062416,11,-57.457741,-56.114143,-57.070511,.0014116754,.000045537916,3.4827931
1992-02-29,LU000,LU,Luxembourg,2.8800485,.092575818,-7.0817161,5.8919234,13.599994,0,0,13.240541,12.619951,0,3.1323509,1.2590878,.72854066,.55308843,44.777664,1.5440575,11.689551,19.039183,12.903514,-22.169453,-23.046183,-24.928511,.0048882118,.00016855903,3.5041215
1992-03-31,LU000,LU,Luxembourg,5.3333368,1.971706,-.62723571,8.6464949,13.943316,0,0,2.6178753,10.166663,0,1.9525746,.28672203,-.11483864,-.16061501,94.680489,3.0542092,17.837908,30.696972,5,15.887269,24.795275,26.380085,.0057308679,.0001848667,4.1554484
1992-04-30,LU000,LU,Luxembourg,7.8226614,3.6630099,-.2061142,11.735942,19.364458,0,0,1.3377475,7.6773386,0,2.8810833,-.51792103,-1.2566514,-1.1102403,49.573669,1.6524556,10.808067,16.104364,9.9936905,-19.869839,-11.748914,-11.843893,.00042979099,.000014326366,3.9594984
1992-05-31,LU000,LU,Luxembourg,14.142942,8.7748156,2.846072,19.043823,27.862333,0,0,0,2.4766366,0,3.9085467,1.5660332,1.2407155,1.3005488,54.742512,1.7658875,14.564224,21.918808,13.132657,-24.053061,-19.551647,-19.538889,0,0,3.5007105
1992-06-30,LU000,LU,Luxembourg,15.903626,11.49223,6.3918052,20.081846,26.066563,0,0,0,1.0432836,0,2.6897047,.46634972,-.15337861,-.16370878,105.96153,3.5320511,33.193691,37.834511,7.9140878,29.455053,32.73999,30.437918,8.3819032e-08,2.7939677e-09,2.9553668
1992-07-31,LU000,LU,Luxembourg,17.988758,13.349308,8.0312052,22.369848,30.797205,0,0,0,.537673,0,2.4656873,.33234224,-.082136542,-.013560358,70.432175,2.2720058,11.773903,23.575129,6.6797996,-4.8213353,-2.3223975,-4.6944556,8.6612999e-08,2.7939677e-09,2.8644016
1992-08-31,LU000,LU,Luxembourg,18.233738,13.83253,9.3806286,22.694769,33.458111,.04299926,0,0,.41686761,0,3.4890535,1.031302,.58431923,.61134493,107.10513,3.455004,16.97386,31.619007,7.9179063,34.31945,32.245579,31.487581,0,0,3.3858526
1992-09-30,LU000,LU,Luxembourg,12.912642,8.8341932,3.0044255,17.332218,23.714857,0,0,0,2.8748491,0,1.9233544,-.56381786,-.86199468,-.8372609,38.516167,1.2838722,7.4204278,15.691515,7.6760826,-33.429039,-30.105541,-29.234022,0,0,3.2625446
1992-10-31,LU000,LU,Luxembourg,6.5113235,3.644033,-2.064708,9.5141592,15.107939,0,0,5.618433,8.988677,0,2.9870632,-2.9056282,-3.1195724,-3.1427515,83.085266,2.6801698,15.857105,29.664968,7.7969041,4.2529054,8.482625,7.5135469,3.6042663e-06,1.1626666e-07,3.9967439
