time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,MK001,MK,Vardarski,-1.9816804,-7.1332631,-19.170589,3.6235428,12.009124,0,0,26.197512,17.48168,0,5.0756111,-2.9740231,-3.2121768,-3.1836238,2.0717263,.066829883,.70068359,.80096418,29.796494,-41.480598,-47.289516,-48.830456,.00055909064,.000018035182,1.4109045
1990-01-31,MK002,MK,Istočen,-3.3062367,-8.9053793,-21.694328,2.5849223,11.021511,0,0,28.008694,18.806236,0,5.108315,-3.5618997,-3.7888811,-3.7374072,2.9735835,.095922045,1.0715821,1.2862874,26.325281,-43.997887,-51.018559,-53.511112,.00078808895,.000025422225,1.4122797
1990-01-31,MK003,MK,Jugozapaden,-1.6274356,-6.3681679,-15.236954,3.2796369,10.078882,0,0,27.150045,17.127436,0,4.2812939,-.77857196,-.88228148,-.91781217,7.52319,.24268354,3.3960571,3.6362891,18.000534,-70.606743,-72.724106,-77.250778,.0018206252,.000058729842,1.1924967
1990-01-31,MK004,MK,Jugoistočen,-2.3340757,-7.8560982,-19.442759,3.2844298,11.935265,0,0,27.32299,17.834076,0,5.0539861,-3.7002118,-3.9392688,-3.8873816,2.1728811,.070092939,.49298954,.91743982,30.97406,-50.571846,-58.375767,-59.996162,.00045603974,.000014710959,1.6031981
1990-01-31,MK005,MK,Pelagoniski,-2.2310305,-7.6798453,-18.765953,3.1702204,10.259884,0,0,26.136467,17.73103,0,4.6037354,-2.1857979,-2.3692541,-2.3590629,3.0540688,.098518349,.93914717,.99782395,26.018616,-50.852627,-54.831203,-57.116463,.0016115778,.000051986382,1.1716465
1990-01-31,MK006,MK,Pološki,-2.5155122,-7.1719508,-16.286596,2.717829,10.973886,0,0,27.060995,18.015512,0,4.5227447,-.66734129,-.78051752,-.81087697,7.067677,.22798958,3.1258197,3.320991,17.982599,-61.14093,-63.69104,-67.588699,.0023681864,.000076393102,1.2285051
1990-01-31,MK007,MK,Severoistočen,-1.6204619,-5.7267299,-15.997329,3.19595,12.23735,0,0,25.97621,17.120462,0,4.3328948,-1.9494767,-2.1672282,-2.1543865,5.1648808,.16660905,2.3468902,2.816278,19.997528,-37.847935,-42.639961,-44.959576,.0016804723,.000054208784,1.5266109
1990-01-31,MK008,MK,Skopski,-.68662697,-4.7014656,-12.294512,4.0075159,12.494033,0,0,25.436407,16.186626,0,3.9688046,-.95576835,-1.164854,-1.1922343,4.6878705,.15122163,1.9541005,2.1001308,18.082209,-45.194504,-49.766357,-51.979572,.0014973303,.000048300975,1.3428881
1990-02-28,MK001,MK,Vardarski,5.391418,-.55412054,-5.1041131,11.738097,19.207195,0,0,16.316839,10.108582,0,2.5227556,2.5488129,1.8321853,1.7420969,21.783497,.77798206,6.8307309,8.7551556,12.403337,-22.969345,-24.083618,-23.154694,.0097467378,.00034809776,1.8233317
1990-02-28,MK002,MK,Istočen,4.35391,-1.108609,-5.7598233,10.294989,17.471958,0,0,19.511238,11.146091,0,2.5005238,2.5375059,1.7729285,1.6823567,23.212229,.82900816,7.6343069,10.175842,12.15189,-28.851143,-29.21838,-28.116451,.012156942,.00043417647,1.7930247
