time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,MT001,MT,Malta,14.332694,13.71789,12.747167,14.854579,16.335016,0,0,0,1.1673063,0,.65167367,.33812106,.17752451,.13127698,74.613754,2.4068954,22.044237,27.243622,6,1.9977703,12.493159,12.281944,1.7322600e-07,5.5879354e-09,7.0446696
1990-01-31,MT002,MT,Gozo and Comino/Għawdex u Kemmuna,14.381028,13.761508,12.858063,14.899828,16.382202,0,0,0,1.1189718,0,.63344258,.35023689,.18880844,.14269829,71.786034,2.3156786,19.774748,25.124363,6,-1.526535,9.1042252,9.094162,1.7322600e-07,5.5879354e-09,7.0896993
1990-02-28,MT001,MT,Malta,15.218338,14.624632,12.567768,15.738875,17.224102,0,0,0,.37796518,0,.72261274,1.7184614,1.5974145,1.5059732,8.8434,.31583571,2.8475676,5.0842123,15,-36.726498,-46.239544,-43.45816,3.1292439e-07,1.1175871e-08,6.7966208
1990-02-28,MT002,MT,Gozo and Comino/Għawdex u Kemmuna,15.242309,14.660703,12.618347,15.762813,17.200989,0,0,0,.35394549,0,.7121613,1.7124357,1.5957775,1.5045824,8.7908897,.31396034,2.5641549,4.8024192,15,-36.910507,-46.523918,-43.683899,3.1292439e-07,1.1175871e-08,6.7630224
1990-03-31,MT001,MT,Malta,15.110977,14.557834,12.268654,15.66118,17.005575,0,0,0,.43078837,0,.96504778,.92777699,.71459019,.69253892,6.9218192,.22328448,1.4095553,2.2854271,19.123013,-25.502096,-28.182554,-27.0005,-1.7322600e-07,-5.5879354e-09,5.2122025
1990-03-31,MT002,MT,Gozo and Comino/Għawdex u Kemmuna,15.123726,14.587737,12.380524,15.660511,17.012177,0,0,0,.4160037,0,.95105755,.92305756,.70952034,.68793583,6.258162,.20187619,1.3672035,2.3302064,21,-26.311567,-28.461996,-27.301992,-1.7322600e-07,-5.5879354e-09,5.2083693
1990-04-30,MT001,MT,Malta,16.155542,15.429361,13.247023,16.840111,19.399349,0,0,0,.017659571,0,.94023991,.55933648,.31991351,.31265315,29.744129,.99147099,13.638016,14.879941,8,10.198349,12.837302,12.757949,1.6763806e-07,5.5879354e-09,7.0944014
1990-04-30,MT002,MT,Gozo and Comino/Għawdex u Kemmuna,16.160189,15.435144,13.273529,16.837399,19.258423,0,0,0,.016213894,0,.93302524,.55432034,.31521511,.30810738,30.2027,1.0067567,13.640535,15.079163,8,10.289467,13.011627,12.930105,1.6763806e-07,5.5879354e-09,7.1873212
1990-05-31,MT001,MT,Malta,18.723352,18.031879,15.633431,19.425709,23.34486,0,0,0,0,0,1.6457986,.30351534,.091790408,.07541205,11.853761,.38237935,5.92664,7.8616233,12.876987,5.5867443,5.2044353,5.2276006,8.6612999e-08,2.7939677e-09,4.6309071
1990-05-31,MT002,MT,Gozo and Comino/Għawdex u Kemmuna,18.734642,18.063681,15.662903,19.413601,23.270538,0,0,0,0,0,1.6308154,.31857491,.11017227,.093809128,12.522748,.4039596,6.4264584,8.3135567,11,6.2109709,5.9580259,5.9617529,8.6612999e-08,2.7939677e-09,4.7320461
1990-06-30,MT001,MT,Malta,21.876669,21.128679,18.568707,22.765257,25.597713,0,0,0,0,0,1.5743704,-.049356297,-.38581803,-.40595075,.84050667,.028016888,.32465348,.47702697,30,-1.9088064,-2.2885244,-2.1782737,0,0,3.835211
1990-06-30,MT002,MT,Gozo and Comino/Għawdex u Kemmuna,21.881744,21.160755,18.61264,22.742472,25.528503,0,0,0,0,0,1.5768102,-.021356583,-.35606766,-.37584686,.93370819,.031123606,.31702268,.53884697,30,-1.8934832,-2.2704384,-2.1479063,0,0,3.8727033
1990-07-31,MT001,MT,Malta,24.74729,24.04977,22.264545,25.515575,26.993807,0,0,0,0,2,.90629637,-.037562069,-.26241562,-.28873131,1.8689446,.060288537,1.6565946,1.6565946,18,1.3974363,1.4203248,1.3871722,8.6612999e-08,2.7939677e-09,4.2013912
1990-07-31,MT002,MT,Gozo and Comino/Għawdex u Kemmuna,24.738218,24.061302,22.17868,25.482969,26.94519,0,0,0,0,2,.91730744,-.018873215,-.23867798,-.26534271,2.2760215,.073420048,2.0368755,2.0368755,18,1.8057225,1.8423479,1.7953837,8.6612999e-08,2.7939677e-09,4.2621264
