time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,NL324,NL,Agglomeratie Haarlem,6.367075,4.9960842,-.1954665,7.593523,11.14963,0,0,2.5247612,9.132925,0,2.328757,2.3135529,1.8923225,1.8350167,69.42244,2.2394335,13.649067,34.793633,5.7470794,-12.552636,-11.670652,-11.758315,.000045332719,1.4623457e-06,8.2030964
1990-01-31,NL325,NL,Zaanstreek,6.214035,4.8229547,-.75103742,7.4847121,11.229262,0,0,3.0113537,9.285965,0,2.4511511,2.3703825,1.9329965,1.8752857,64.594315,2.0836878,12.697524,33.075897,6.0681229,-12.939765,-11.946856,-11.968809,.000022302886,7.1944794e-07,7.7615838
1990-01-31,NL327,NL,Het Gooi en Vechtstreek,5.5913906,3.8664849,-2.3425217,7.2185602,11.630987,0,0,4.9940386,9.9086094,0,2.9440892,2.471478,2.00085,1.9460508,58.191956,1.8771598,13.593842,35.158577,14.606874,-12.464571,-11.353065,-11.609789,.000095010655,3.0648598e-06,6.0290418
1990-01-31,NL328,NL,Alkmaar en omgeving,6.293273,4.9251556,-.52270395,7.5349374,11.171079,0,0,2.2079551,9.206727,0,2.3843398,2.3486199,1.9266001,1.8694235,64.631264,2.0848794,12.685535,32.619373,6.1870699,-12.846223,-11.78764,-11.777008,.000030893876,9.9657655e-07,8.0189877
1990-01-31,NL329,NL,Groot-Amsterdam,5.9406838,4.37708,-1.5371022,7.3763347,11.463792,0,0,3.964493,9.5593157,0,2.6791031,2.4170969,1.9695909,1.9128916,60.801998,1.9613547,13.106113,33.697636,9.3164768,-12.687612,-11.642872,-11.747468,.00004488834,1.4480109e-06,6.9581347
1990-01-31,NL332,NL,Agglomeratie ’s-Gravenhage,6.0706005,4.4212465,-1.0869395,7.5590787,11.675783,0,0,3.6084676,9.4293995,0,2.6513858,2.2975492,1.8545161,1.8000915,64.004387,2.0646577,14.023091,35.167912,8.4155436,-8.4807768,-8.0663919,-8.4493685,.00012570803,4.0550976e-06,6.9644141
1990-01-31,NL333,NL,Delft en Westland,6.124651,4.4872403,-1.0642483,7.5917878,11.705388,0,0,4,9.375349,0,2.6365638,2.269763,1.8273857,1.7731087,63.041767,2.0336053,13.72632,34.443695,11.870232,-8.476593,-8.0697775,-8.4098501,.00015743083,5.0784138e-06,7.0469332
1990-01-31,NL337,NL,Agglomeratie Leiden en Bollenstreek,6.2304802,4.723752,-.55709988,7.5672054,11.411891,0,0,3.9998863,9.2695198,0,2.4791524,2.3067126,1.8807011,1.8244785,68.019539,2.1941788,14.266068,35.936569,5.9999714,-11.113203,-10.416989,-10.678027,.000064314903,2.0746743e-06,7.6466861
1990-01-31,NL33A,NL,Zuidoost-Zuid-Holland,5.618443,3.8376901,-1.5096884,7.272645,11.797247,0,0,4.9984107,9.8815565,0,2.8776493,2.371295,1.8944702,1.8434106,60.509132,1.9519075,16.205755,38.836979,13.238706,-8.4178991,-7.752636,-8.4291582,.00016024239,5.1691095e-06,5.7502012
1990-01-31,NL33B,NL,Oost-Zuid-Holland,5.7774348,4.0399823,-1.6322066,7.3741369,11.711853,0,0,4.52246,9.7225657,0,2.8330567,2.3997045,1.9361486,1.8816862,63.618874,2.0522218,14.7407,37.046818,9.1347609,-7.4958401,-6.924366,-7.3890986,.0001121673,3.6183001e-06,6.2373662
