time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,RS110,RS,City of Belgrade,.54855037,-2.3143218,-12.508656,3.5247903,16.950045,0,0,20.55827,14.951449,0,6.0378928,-.22354612,-.56883693,-.62349975,7.2345886,.23337382,2.2313218,2.8889668,15.691862,-39.439541,-41.030003,-40.807972,.0019888182,.000064155422,2.1394451
1990-01-31,RS121,RS,Zapadnobačka oblast,.75376666,-2.2466662,-10.545082,3.7940297,13.811188,0,0,22.352783,14.746233,0,5.5266147,.55386192,.047134738,-.026776757,8.1338367,.26238182,6.0543127,6.345819,25,-33.025208,-34.458336,-34.473,.00099843554,.000032207598,2.1495273
1990-01-31,RS122,RS,Južnobanatska oblast,.64142895,-1.9960996,-11.929124,3.3062115,16.188835,0,0,19.856392,14.858571,0,5.835741,-.02799575,-.3746717,-.43618768,6.9733362,.22494633,1.9234102,2.8334169,14.447081,-40.606091,-42.178997,-42.014271,.0021960682,.000070840906,2.2570698
1990-01-31,RS123,RS,Južnobačka oblast,.76293117,-2.1534815,-11.277555,3.8325517,15.762981,0,0,21.35984,14.737069,0,5.7112556,.46365386,-.02482421,-.095363528,5.4606876,.1761512,2.4694831,2.8618724,25.105398,-37.357605,-39.153763,-39.030037,.0013870372,.000044743138,2.1464281
1990-01-31,RS124,RS,Severnobanatska oblast,.53753847,-2.2148654,-10.734088,3.3317678,14.506083,0,0,20.887922,14.962461,0,5.5360775,.55608189,-.0044473009,-.07084015,6.1680565,.19896956,3.4424274,3.509166,25.019297,-32.809525,-34.471581,-34.448647,.0011136469,.000035924091,2.2461536
1990-01-31,RS125,RS,Severnobačka oblast,.60809416,-2.3286717,-10.971262,3.5569332,14.222877,0,0,21.304232,14.891906,0,5.5970445,.62647676,.086505689,.016003292,7.5944495,.24498224,5.5530896,5.6607852,25,-31.314734,-33.120098,-33.147747,.0009516257,.000030697604,2.2565286
1990-01-31,RS126,RS,Srednjobanatska oblast,.73196381,-1.8848777,-10.859421,3.5148668,16.047869,0,0,20.248032,14.768036,0,5.6555376,.30654484,-.13234985,-.19991805,4.7667642,.15376659,1.162082,1.4565715,24.677378,-38.171703,-39.707237,-39.532063,.001544749,.000049830614,2.1822002
1990-01-31,RS127,RS,Sremska oblast,.63195908,-2.2211556,-11.744558,3.6561029,16.946228,0,0,21.608173,14.868041,0,5.8697276,.022155527,-.36476523,-.42543882,6.0442538,.19497593,1.3945911,1.8895135,20.220545,-39.285622,-40.995705,-40.65443,.0017082893,.000055106106,2.0584588
1990-01-31,RS211,RS,Zlatiborska oblast,-2.0870373,-6.3108525,-17.678717,2.7820723,12.691084,0,0,25.696814,17.587038,0,5.7104702,-.52366644,-.72082174,-.72644514,15.369454,.49578884,4.9909687,8.4860182,14.859705,-45.898132,-48.084019,-49.169796,.0085068233,.00027441364,1.6415451
1990-01-31,RS212,RS,Kolubarska oblast,-.71842307,-4.6922383,-18.095825,3.4572468,16.094069,0,0,22.113958,16.218424,0,6.8620205,-1.0986449,-1.4653805,-1.4790833,12.329223,.39771685,3.8279676,5.556972,15.480507,-43.030422,-45.710304,-45.794434,.0027735215,.000089468434,1.8274618
1990-01-31,RS213,RS,Mačvanska oblast,-.21893567,-4.0367126,-16.283346,3.8059599,16.623606,0,0,23.148642,15.718936,0,6.7310057,-.69535834,-1.1165187,-1.1496865,10.397155,.33539209,2.742686,3.6920445,17.445789,-43.076977,-45.650925,-45.436203,.0018248582,.000058866397,1.8139921
1990-01-31,RS214,RS,Moravička oblast,-1.2201743,-4.8726315,-15.856207,2.9696016,14.537909,0,0,24.61277,16.720175,0,5.7852368,-.83784473,-1.195581,-1.207269,14.916669,.48118287,5.0363545,9.0757895,15.598291,-40.02985,-42.506176,-43.332371,.0053539365,.00017270762,1.6420538
1990-01-31,RS215,RS,Pomoravska oblast,-1.3571746,-4.8726659,-18.275845,2.3399022,14.391285,0,0,23.489738,16.857174,0,6.2126698,-1.3618392,-1.7070867,-1.7154045,19.282896,.62202889,8.0815744,11.218992,14,-33.996452,-37.081406,-38.102844,.0067771706,.00021861841,1.768139
1990-01-31,RS216,RS,Rasinska oblast,-2.2749748,-6.3520732,-21.700523,2.1602612,13.807277,0,0,24.735498,17.774975,0,6.4150434,-1.8876554,-2.192359,-2.172574,18.719852,.60386622,8.4537554,12.614556,14.336024,-35.484451,-39.156704,-40.646595,.0091746729,.0002959572,1.6898587
1990-01-31,RS217,RS,Raška oblast,-2.8464925,-7.4232683,-20.959471,2.2341597,12.93493,0,0,25.317669,18.346493,0,6.0579214,-1.5470823,-1.9134948,-1.8764038,16.244329,.52401066,6.2155075,10.725319,14.886116,-42.165508,-44.267185,-46.173397,.009616836,.00031022052,1.6222532
1990-01-31,RS218,RS,Šumadijska oblast,-.6973632,-4.0547805,-16.644133,2.7930536,14.911656,0,0,22.692533,16.197363,0,5.9653988,-.94965076,-1.3157586,-1.3347288,17.110136,.55193985,4.7863221,8.2366705,14,-36.009247,-38.899197,-39.485489,.0034124691,.00011007964,1.8806965
1990-01-31,RS221,RS,Borska oblast,-1.6440161,-4.6664658,-17.672581,1.7463969,10.755225,0,0,24.6635,17.144016,0,5.3914571,-.71269143,-.97103006,-1.0063194,12.659762,.40837941,5.0079927,7.0174193,15.55853,-42.229736,-46.714138,-47.412788,.0042509483,.00013712735,2.4193561
1990-01-31,RS222,RS,Braničevska oblast,-.19408067,-2.8110635,-12.66336,2.4748108,14.606133,0,0,21.065798,15.69408,0,5.5343108,-.37646452,-.71414644,-.76387382,14.98887,.48351195,5.1861472,7.0840769,14.128275,-40.606472,-42.694778,-43.069614,.0054660188,.00017632318,2.2917194
1990-01-31,RS223,RS,Zaječarska oblast,-2.3492267,-5.7059603,-18.576294,1.4440774,11.783806,0,0,25.91205,17.849226,0,5.7182736,-1.2336736,-1.4656756,-1.4799868,16.296644,.52569824,8.2287588,10.951403,15.629532,-32.672195,-36.696976,-38.28569,.0088517899,.00028554161,2.0373619
1990-01-31,RS224,RS,Jablanička oblast,-1.5985501,-5.2219186,-14.744534,2.5296724,12.587327,0,0,26.402096,17.098551,0,4.4698162,-1.4258723,-1.5870992,-1.5991282,20.173817,.65076828,10.230752,14.900537,15.376087,-28.68417,-31.571085,-33.836323,.011876073,.0003830991,1.3881989
1990-01-31,RS225,RS,Nišavska oblast,-1.7072512,-5.087172,-13.984241,2.0890999,12.674811,0,0,26.745604,17.207251,0,4.9644814,-1.3772578,-1.603229,-1.6156734,17.583439,.56720769,9.3326797,12.909797,16.583754,-25.934212,-28.803738,-31.050949,.0097856028,.00031566463,1.6010019
1990-01-31,RS226,RS,Pirotska oblast,-2.4436829,-6.0864959,-13.868116,1.6141316,11.152746,0,0,27.282434,17.943684,0,4.3337545,-.74094188,-.89833862,-.90334582,21.367393,.68927079,12.522817,15.669882,14.000664,-28.318468,-32.893185,-35.61734,.01663319,.00053655449,1.6296728
1990-01-31,RS227,RS,Podunavska oblast,.44204798,-2.4533787,-13.093925,3.2695694,15.713402,0,0,18.719173,15.057952,0,5.8025045,-.43153635,-.7605328,-.80629933,14.395222,.464362,3.5053239,6.3464718,14,-37.887268,-39.821957,-40.142323,.0024263794,.000078270299,2.176079
1990-01-31,RS228,RS,Pčinjska oblast,-2.6275899,-6.7300949,-16.894545,2.2556407,11.922861,0,0,27.196192,18.12759,0,4.6970716,-1.9708067,-2.1707199,-2.152714,13.131971,.42361197,6.220819,8.4522924,16.420635,-35.225555,-39.047363,-41.385277,.0078336075,.00025269703,1.4634218
1990-01-31,RS229,RS,Toplička oblast,-2.0932724,-5.6965294,-17.265642,2.2143953,12.680656,0,0,25.773771,17.593273,0,5.4301829,-1.7663378,-1.9856906,-1.9744664,15.434612,.49789071,7.7397442,11.792934,16.391117,-31.67837,-35.148418,-37.297325,.0092222579,.0002974922,1.5212703
1990-02-28,RS110,RS,City of Belgrade,6.3782272,1.069178,-2.3442748,12.486015,21.147278,0,0,8.702363,9.1217728,0,2.3585241,3.8682828,3.2396402,3.0653529,45.374367,1.6205131,12.606159,26.215242,10.676341,1.8161509,-1.4008497,-.93779856,.0073110186,.00026110781,3.0717216
1990-02-28,RS121,RS,Zapadnobačka oblast,6.2924156,.73467267,-2.6394498,12.512707,19.975658,0,0,12.323426,9.2075844,0,2.4804916,4.4044137,3.7652748,3.5791066,33.920563,1.2114486,15.247767,15.607938,11.666864,-6.5036044,-13.428987,-12.692651,.0027181781,.000097077791,2.9848392
1990-02-28,RS122,RS,Južnobanatska oblast,6.0655975,1.0690079,-2.3542473,11.814633,20.735312,0,0,9.7608089,9.4344025,0,2.2945006,3.7267561,3.1059315,2.9390709,42.682846,1.5243874,12.106352,23.993378,10.583022,-2.3965926,-5.1884317,-4.697341,.0066865711,.0002388061,3.2392397
1990-02-28,RS123,RS,Južnobačka oblast,6.2331653,.82424206,-3.0601983,12.450394,20.060518,0,0,9.7787857,9.2668352,0,2.4209437,4.2211833,3.5698228,3.3874333,40.892628,1.460451,15.121694,18.700882,10.959414,-.50945556,-5.2385187,-4.9086199,.0057146307,.00020409396,3.1194024
1990-02-28,RS124,RS,Severnobanatska oblast,5.8555412,.73569882,-3.5546629,11.720429,19.391964,0,0,10.444441,9.6444588,0,2.3675601,4.2105012,3.5543213,3.3751194,31.976986,1.1420352,11.230968,17.709421,11.001143,-6.9086843,-11.688543,-11.290411,.0051600677,.00018428813,3.403302
1990-02-28,RS125,RS,Severnobačka oblast,6.0264711,.64325601,-3.0580373,12.083982,19.741039,0,0,12.540015,9.4735289,0,2.4697731,4.394465,3.7509587,3.5656581,31.33728,1.1191887,13.013777,15.173362,11.635132,-7.9194627,-14.413188,-13.826684,.0038091326,.00013604044,3.2843633
