time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,CH011,CH,Vaud,.97052538,-1.7671925,-4.809154,4.2242746,8.5404654,0,0,22.411283,14.529474,0,2.3030176,.72003651,.19375543,.21011834,60.043129,1.9368751,17.235355,38.216949,17.425919,-60.43224,-58.915699,-60.066242,.018143116,.00058526179,1.6538498
1990-01-31,CH055,CH,St. Gallen,-1.4330513,-5.3560224,-10.265159,3.1086583,8.2581434,0,0,27.178194,16.933052,0,3.2071347,.27140573,-.51470572,-.49121699,44.802811,1.4452519,12.135343,16.458128,11,-59.764954,-59.722824,-61.120926,.020503692,.00066140946,1.3180245
1990-01-31,CH056,CH,Graubünden,-8.3771343,-14.745919,-21.744604,-1.5211746,4.5731087,0,0,31,23.877134,0,3.867553,-.041350707,-.91472644,-.86425036,45.949757,1.4822502,18.005198,27.835203,14.524458,-41.346443,-41.435532,-42.744274,.044334654,.0014301501,1.2436527
1990-01-31,CH057,CH,Thurgau,.42101851,-2.3180244,-6.4090466,3.6659355,9.6942739,0,0,23.361656,15.078981,0,2.8628871,.43498027,-.24522239,-.21961926,42.710625,1.3777621,11.641665,16.543243,10.823493,-43.976151,-45.401199,-46.933613,.012062997,.00038912892,1.4536488
1990-01-31,CH061,CH,Luzern,1.1802622,-1.7358243,-5.4810128,4.2466455,10.403163,0,0,21.698282,14.319737,0,2.6120844,.70545143,.16364405,.18341692,32.795105,1.0579066,8.1182098,18.028841,11.038429,-67.317627,-68.117271,-69.513245,.0045999843,.00014838659,1.3203443
1990-01-31,CH062,CH,Uri,-5.9832897,-10.254986,-15.766888,-1.4594884,4.725687,0,0,30.072662,21.48329,0,3.8139164,-.13434203,-.74347961,-.69445086,40.069191,1.2925545,11.93799,21.570763,11.84009,-86.992653,-84.481544,-85.691498,.033554032,.0010823882,1.1635653
1990-01-31,CH063,CH,Schwyz,-1.6094207,-5.5423794,-9.7583866,2.9315219,7.4663191,0,0,28.706656,17.109421,0,3.1296113,.1002775,-.52120298,-.48290402,36.29081,1.1706712,8.6835356,16.7799,11,-82.335815,-82.070755,-83.48484,.017930953,.00057841785,1.4049667
1990-01-31,CH064,CH,Obwalden,-.85037869,-4.3453755,-7.828361,2.8719511,7.6065402,0,0,27.511303,16.350378,0,2.6837511,.53205568,-.037427377,-.011810158,30.053717,.96947473,7.5061927,15.40102,11.58607,-95.071823,-93.310654,-94.183754,.012943015,.00041751665,1.1733537
1990-01-31,CH065,CH,Nidwalden,-.54535168,-4.1383395,-7.958281,2.9764061,7.630559,0,0,27.602484,16.045351,0,2.729723,.63183564,.079882726,.10779856,30.404593,.9807933,7.4673252,14.452664,11.007923,-96.170723,-94.650757,-95.599663,.012993416,.00041914245,1.1770512
1990-01-31,CH066,CH,Zug,1.5433761,-1.4034145,-4.739162,4.7980537,10.058923,0,0,19.064465,13.956624,0,2.4726017,.60767871,.061765157,.088352539,30.832926,.99461055,7.033421,13.838132,11,-67.358528,-68.746399,-70.202904,.0050518708,.00016296357,1.2330639
1990-01-31,CH070,CH,Ticino,-1.6773099,-5.7597833,-10.168728,3.1629567,7.8647904,0,0,27.404547,17.177309,0,2.7879202,-.69421721,-1.5459448,-1.488693,56.293694,1.8159256,30.778929,45.842449,23.580328,-16.923004,-18.110662,-19.529911,.027983544,.000902695,1.2810048
1990-01-31,CH012,CH,Valais,-9.3373156,-13.849286,-20.69813,-4.0188675,3.753957,0,0,30.781664,24.837317,0,4.5614438,-.68596309,-1.2474916,-1.2050706,45.079952,1.454192,17.89188,33.06702,22.363178,-87.558434,-83.726929,-84.200928,.039117288,.001261848,1.3070431
1990-01-31,CH013,CH,Genève,1.3285152,-2.2027125,-5.3028927,5.2921348,9.9808607,0,0,27,14.171485,0,1.9822054,.72819978,.076750383,.086860597,66.837494,2.1560481,20.730867,41.508472,23,-62.884365,-61.239548,-62.41478,.019537473,.00063024112,1.5552671
1990-01-31,CH021,CH,Bern,-.8001669,-4.1906891,-8.7343264,3.4225428,9.5247231,0,0,25.5711,16.300167,0,3.2134094,.29105788,-.24796289,-.22789833,41.586079,1.3414865,11.400971,25.57588,15.18413,-59.851707,-59.253468,-60.506462,.010651718,.00034360381,1.5164263
1990-01-31,CH022,CH,Freiburg,-.048247188,-3.2504933,-7.0579801,4.0772257,9.0920095,0,0,24.801531,15.548247,0,2.8832681,.30878833,-.20973906,-.18844643,47.725475,1.5395315,12.857542,30.026325,16.991245,-56.546108,-55.85952,-56.962063,.011147649,.00035960157,1.6111381
1990-01-31,CH023,CH,Solothurn,.84523267,-2.0989218,-7.1325154,4.344008,11.505874,0,0,22.935009,14.654767,0,3.2512531,.42797709,-.11259,-.093699887,44.434383,1.4333671,11.206888,25.99703,13.027354,-43.691845,-44.872021,-46.761971,.004248146,.00013703696,1.6175437
1990-01-31,CH024,CH,Neuchâtel,.55390853,-2.1078019,-5.9993606,3.7337515,8.8626175,0,0,24.246239,14.946092,0,2.5691161,.80204409,.30627939,.32385448,61.787815,1.9931552,15.827708,38.445786,16.451376,-51.666,-50.552067,-51.977047,.017709998,.00057129026,2.0069077
1990-01-31,CH025,CH,Jura,.82098228,-2.0608325,-6.8774924,4.2345371,10.715419,0,0,23,14.679018,0,3.1098454,.57346535,.051061444,.066327065,52.417015,1.6908715,13.007736,31.579727,15.07963,-43.268818,-43.392113,-45.304348,.0073742443,.00023787886,1.9215147
1990-01-31,CH031,CH,Basel-Stadt,1.1357187,-1.6701069,-6.9838877,4.6736598,12.100467,0,0,23,14.364282,0,3.4181757,.35738489,-.20013541,-.17869779,49.088314,1.5834939,11.679583,25.530939,9,-36.133564,-37.424255,-39.560261,.0037420788,.00012071222,2.0918465
1990-01-31,CH032,CH,Basel-Landschaft,1.1952504,-1.5432098,-6.2410064,4.5413523,12.263108,0,0,23,14.304749,0,3.3011279,.36753321,-.19793972,-.17477182,46.210823,1.4906718,10.793715,25.208065,9.1655169,-38.135437,-39.741352,-41.802158,.0028839204,.000093029696,1.8260761
1990-01-31,CH033,CH,Aargau,1.1447163,-1.5893359,-5.7109499,4.2917128,11.646447,0,0,22.062128,14.355284,0,2.8983424,.54356503,-.01702353,.0079741599,40.432178,1.3042638,9.7238359,24.052074,10.29465,-48.037468,-49.623611,-51.469337,.0034698532,.00011193074,1.5718278
