time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,CZ010,CZ,Hlavní město Praha,1.0161408,-1.3484356,-11.806034,3.3483016,11.057417,0,0,17.406286,14.483859,0,4.1321516,1.6993209,1.0415683,1.0036672,13.180748,.42518541,3.6702642,5.872869,14.358844,-27.981531,-29.738024,-29.503798,.0020578627,.000066382665,3.5990314
1990-01-31,CZ020,CZ,Středočeský kraj,.90028703,-1.4907968,-11.739145,3.2571983,10.746568,0,0,17.910954,14.599713,0,4.1254139,1.6475496,.97366375,.9357096,14.238414,.45930368,4.002142,6.6345716,14.662601,-27.790621,-29.347006,-29.150387,.002253179,.000072683193,3.5019245
1990-01-31,CZ031,CZ,Jihočeský kraj,-.8332997,-3.3918264,-13.190199,1.8997544,8.1356878,0,0,22.604374,16.3333,0,4.1184874,.85570449,.36102757,.3550784,12.159239,.39223352,2.57094,4.3063598,13.718987,-38.375717,-40.764252,-40.151295,.0036588949,.00011802887,2.7381845
1990-01-31,CZ032,CZ,Plzeňský kraj,-.58706188,-3.1334662,-15.044067,1.9135729,9.4986992,0,0,21.429922,16.087061,0,4.2414188,1.1057562,.45268697,.43876252,23.818821,.76834905,6.8137288,12.470541,13.363012,-27.86558,-28.101801,-28.066257,.0064050048,.00020661307,3.3198917
1990-01-31,CZ041,CZ,Karlovarský kraj,-.57274842,-2.7624035,-12.265344,1.5427126,8.4984369,0,0,22.945284,16.072748,0,3.6089737,1.792028,1.1810108,1.1407834,33.097626,1.0676655,9.7122822,18.215448,8.910121,-30.847683,-31.038822,-31.082834,.010319406,.00033288408,3.665319
1990-01-31,CZ042,CZ,Ústecký kraj,.48039889,-1.9716704,-11.851851,2.8312171,9.6948748,0,0,20.183773,15.019601,0,3.959439,1.9794132,1.3333323,1.287303,19.757547,.63734025,5.2303095,8.8445759,10.701103,-29.81192,-32.067368,-31.969084,.0042172153,.00013603921,3.2901978
1990-01-31,CZ051,CZ,Liberecký kraj,.10072629,-2.0037999,-10.507023,2.1268797,8.6483393,0,0,21.514566,15.399274,0,3.6122828,2.1848602,1.7034028,1.6431391,40.99802,1.3225168,7.9333367,14.924182,8.0999336,-32.726986,-35.280304,-34.802525,.0095895408,.00030934004,3.3386455
1990-01-31,CZ052,CZ,Královéhradecký kraj,.051320218,-2.1279562,-11.580909,2.1285577,8.4984674,0,0,20.999823,15.44868,0,3.7643282,1.8992122,1.4281856,1.3727071,23.830364,.7687214,5.7952147,10.495006,11.960066,-36.343987,-36.759106,-36.096249,.0068064998,.00021956451,2.9424939
1990-01-31,CZ053,CZ,Pardubický kraj,-.13586666,-2.2690539,-11.649023,1.919907,8.1577816,0,0,21.078045,15.635867,0,3.9397006,1.8586938,1.3720192,1.319947,16.1513,.52100968,3.2017014,5.6036081,15.257738,-40.191799,-41.281662,-40.53846,.0038411508,.00012390809,3.2624488
1990-01-31,CZ063,CZ,Kraj Vysočina,-.61844426,-2.7151945,-11.594112,1.4824948,7.8661537,0,0,23.027714,16.118444,0,4.0163889,1.4707258,1.0115528,.97313422,9.4542866,.30497697,1.5573915,2.7710149,20.926958,-38.970097,-40.529438,-39.826565,.0025159756,.000081160506,3.3804367
1990-01-31,CZ064,CZ,Jihomoravský kraj,-.60269397,-3.0817955,-11.577961,1.6599908,8.5446339,0,0,22.643084,16.102694,0,4.3726749,.87104982,.33318284,.30326453,7.8888512,.25447908,1.5490648,2.3704169,26.383366,-30.307491,-32.057552,-31.497566,.0017144146,.000055303695,2.7651742
1990-01-31,CZ071,CZ,Olomoucký kraj,-.80199587,-3.1666481,-11.993421,1.2688679,7.302669,0,0,23.543215,16.301996,0,4.2502356,1.5184717,1.0144469,.96502721,15.303865,.49367309,2.6193037,4.9993014,21.398764,-31.072506,-32.964302,-32.3535,.0043467474,.00014021766,2.9273434
