time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,DK032,DK,Sydjylland,4.4878435,2.9576206,-1.6813662,5.9428582,10.055633,0,0,4.1877546,11.012156,0,2.5114615,3.1341786,2.619293,2.5587277,85.914452,2.7714341,15.660241,32.573544,3.7122383,15.666613,15.335396,14.851302,.0030709433,.000099062687,6.2787671
1990-01-31,DK041,DK,Vestjylland,4.5881915,3.0763974,-2.6340287,6.020659,10.083384,0,0,4.8934965,10.911808,0,2.5672529,3.2165146,2.6990592,2.646477,106.61669,3.4392481,15.424915,32.035023,3.3710632,34.321587,34.56749,33.521912,.0048958501,.00015793066,6.7261882
1990-01-31,DK042,DK,Østjylland,4.2715654,2.5680206,-1.8896343,5.8226705,10.182182,0,0,5.3968496,11.228435,0,2.4928663,3.3141122,2.8199871,2.759937,82.144402,2.6498194,13.444963,29.161634,5.824131,20.797234,21.221672,20.538376,.0038706344,.00012485917,6.0661912
1990-01-31,DK050,DK,Nordjylland,4.8141294,3.3610623,-1.015111,6.2336407,10.198572,0,0,3.5628412,10.685871,0,2.3696303,3.1798477,2.7465019,2.6985943,108.00153,3.4839203,13.647472,28.603651,5.569684,38.831055,39.466599,38.75388,.0060284301,.00019446548,6.6267166
1990-01-31,DK011,DK,Byen København,4.070323,2.5387096,-1.7331755,5.5833435,9.955719,0,0,4.9792991,11.429677,0,2.511214,3.5051665,2.9350226,2.8585176,54.230747,1.749379,10.595996,20.554892,6,-2.138531,-2.2199371,-2.8012431,.0019841206,.000064003885,6.2493944
1990-01-31,DK012,DK,Københavns omegn,4.0698671,2.519223,-1.7790269,5.5851798,9.9758453,0,0,4.998158,11.430133,0,2.537215,3.4978406,2.9316509,2.855716,53.231033,1.7171301,10.584851,20.236656,6,-2.3160281,-2.4931324,-3.0692017,.0020137962,.000064961161,6.2239213
1990-01-31,DK013,DK,Nordsjælland,4.1314025,2.6932151,-1.437041,5.5459647,9.7117767,0,0,4.7359729,11.368597,0,2.4622581,3.4205525,2.8727524,2.7974312,55.22401,1.7814198,10.586677,19.546976,6,-1.3143559,-1.2934453,-1.9588339,.0019937875,.000064315725,6.5709791
1990-01-31,DK014,DK,Bornholm,4.8516235,4.0273285,.3853977,5.8302317,8.2719879,0,0,0,10.648376,0,1.5419633,2.7161367,2.3766062,2.2868452,66.078003,2.1315484,12.302423,26.371794,3,.046639502,4.6324577,2.9857564,.0027893558,.000089979221,10.41603
1990-01-31,DK021,DK,Østsjælland,4.0426879,2.4156852,-1.9833769,5.5976257,10.078737,0,0,5.5090251,11.457313,0,2.6163177,3.4469237,2.9021428,2.828691,48.791374,1.5739152,10.106681,18.555119,6,-4.1076455,-4.7503009,-5.2569962,.0018360671,.000059227968,6.1471896
1990-01-31,DK022,DK,Vest- og Sydsjælland,4.1752853,2.8075979,-1.3463464,5.5538707,9.6576109,0,0,4.4799504,11.324715,0,2.3818853,3.114691,2.6193981,2.5506287,55.385807,1.7866389,10.1401,20.369129,5.9332008,-.33740753,-1.8355832,-2.3447084,.0014702675,.000047427984,7.0221472
