time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,ME000,ME,Crna Gora,.70016778,-3.1297128,-10.363927,5.3785748,12.042739,0,0,20.496548,14.799832,0,3.7014468,-.097624712,-.34356588,-.35160151,60.234985,1.943064,23.597805,37.972725,17.457975,-89.078789,-90.571693,-97.27536,.0040732156,.00013139406,1.5024357
1990-02-28,ME000,ME,Crna Gora,4.8112769,.032669842,-5.1840601,10.282565,17.090057,0,0,15.269555,10.688724,0,2.4584305,3.2569709,2.5783556,2.4510281,69.097122,2.4677546,22.917095,30.722822,10.122059,-88.426003,-92.072418,-89.171341,.027550077,.00098393136,1.8349342
1990-03-31,ME000,ME,Crna Gora,7.7767444,2.3427894,-6.2873011,13.29276,19.834761,0,0,8.9280128,7.786274,0,3.3711188,2.8851593,2.3522434,2.3194609,56.263554,1.8149533,13.824369,27.806648,9.4201307,-93.976746,-102.51547,-98.227737,.010580825,.00034131695,1.7198441
1990-04-30,ME000,ME,Crna Gora,8.4481564,4.8115668,-.041487873,12.161955,16.925837,0,0,4.1172285,7.101222,0,2.0151451,-.4356671,-.94696832,-.85032874,277.74646,9.2582159,64.213928,115.03786,3.4760947,126.7873,133.12007,128.49478,.023148866,.00077162887,1.9487071
1990-05-31,ME000,ME,Crna Gora,13.274231,8.9279413,3.2081673,17.579674,22.697247,0,0,1.0983727,3.1325366,0,2.491298,-.72594768,-.83848101,-.80499119,95.541084,3.0819705,14.64926,25.232843,5.5669713,-15.811029,-30.814014,-28.344679,.000072967057,2.3537762e-06,1.5766428
1990-06-30,ME000,ME,Crna Gora,16.483047,11.738373,5.2013464,20.763426,26.924307,0,0,.10834579,1.510708,0,2.7571168,-.9768886,-1.6737238,-1.6508631,57.311813,1.9103938,11.154202,21.90741,8.442235,-30.661554,-29.070301,-26.874306,0,0,1.6435542
1990-07-31,ME000,ME,Crna Gora,19.616714,14.163229,10.340324,24.767351,28.431545,0,0,0,.69900525,.69339252,1.7293997,-.3508631,-.81788087,-.85390347,42.615337,1.3746884,14.190395,18.735136,10.420875,-21.255125,-25.882137,-24.574766,8.6612999e-08,2.7939677e-09,1.6599491
1990-08-31,ME000,ME,Crna Gora,19.131386,13.950328,11.308631,24.403326,28.077236,0,0,0,.73445052,.66554797,1.711144,-.79894584,-1.5181068,-1.5017459,37.598614,1.2128584,12.719481,13.849044,9.0353508,-32.936722,-26.526615,-25.78021,0,0,1.6064769
1990-09-30,ME000,ME,Crna Gora,14.371235,9.7674828,4.9465876,19.157482,26.545187,0,0,.11764834,2.5571671,0,2.3042381,-1.3458223,-1.6384354,-1.6041881,74.771019,2.4923673,17.060354,19.91712,5.6711845,-66.824387,-73.584923,-68.60376,-1.6763806e-07,-5.5879354e-09,1.6165007
1990-10-31,ME000,ME,Crna Gora,12.544981,8.1126966,.62530196,17.311371,23.851175,0,0,2.142426,3.5306239,0,3.3101597,1.1053598,.92127943,.93619668,221.20975,7.135798,44.550816,74.807182,10,50.530373,45.713863,46.100456,.000017590664,5.6744079e-07,1.5983407
