time,nuts_id,cntr_code,name_latn,t_mean,t_min,t_min_min,t_max,t_max_max,t_max_35,t_max_40,fd,hd,cd,t_sd,t_diff_1981_2010,t_diff_1991_2020,t_diff_1990_2021,pr_total,pr_mean,pr_max_1day,pr_max_3day,cdd,pr_diff_1981_2010,pr_diff_1991_2020,pr_diff_1990_2021,snow_total,snow_mean,ws_mean
1990-01-31,PT16D,PT,Região de Aveiro,8.9658718,6.2258201,3.1921751,12.244099,14.784088,0,0,0,6.5341277,0,1.7458895,-.3950507,-.59607232,-.54138386,134.66339,4.3439803,36.862083,57.236839,16.750544,4.0367303,-5.301023,-5.5239224,1.7322600e-07,5.5879354e-09,3.2339778
1990-01-31,PT16E,PT,Região de Coimbra,8.5935049,5.5128913,1.7121404,12.195023,14.538564,0,0,.17397352,6.9064946,0,1.882079,-.42686045,-.62283379,-.5659883,115.22816,3.7170374,35.426968,52.41711,17.008186,3.404253,-1.9786664,-2.0048113,.000040814863,1.3166085e-06,2.9744337
1990-01-31,PT16F,PT,Região de Leiria,9.687705,6.9814081,3.7157817,12.74933,15.021919,0,0,.000035335346,5.8122954,0,1.6550773,-.24579351,-.40137053,-.35328791,100.75122,3.2500393,33.830872,47.350121,17.302889,1.8825202,-.47694778,.11484452,1.7322600e-07,5.5879354e-09,3.5767577
1990-01-31,PT16G,PT,Viseu Dão Lafões,6.1002188,3.2677922,-.12603921,9.4961176,12.366261,0,0,1.2083558,9.3997812,0,1.9344388,-.54249239,-.75712532,-.70154673,139.75978,4.5083799,40.482712,62.358212,17.055494,4.9646382,-5.4956355,-5.7692699,.00012831847,4.1393055e-06,2.5974104
1990-01-31,PT16H,PT,Beira Baixa,6.9809861,3.9012151,.42948711,10.323924,13.022233,0,0,.34294698,8.5190134,0,1.7617676,-.24438201,-.43531749,-.39161116,91.837715,2.962507,36.565243,49.290531,18.700254,-3.1904685,-1.1449543,-.45285547,.000040996263,1.3224601e-06,2.43519
1990-01-31,PT16I,PT,Médio Tejo,8.6153536,5.340457,1.4918733,12.377034,15.258242,0,0,.006072612,6.8846464,0,1.7692543,-.31618032,-.48134685,-.43042538,85.089996,2.7448385,31.965317,43.026482,18.313492,-3.59794,-3.4780216,-2.5413885,1.7322600e-07,5.5879354e-09,2.8248165
1990-01-31,PT16J,PT,Beiras e Serra da Estrela,5.3722177,2.4697628,-.87573826,8.5330324,11.657378,0,0,4.7738967,10.127783,0,1.9603202,-.44635847,-.6378606,-.58788097,99.453239,3.208169,36.950676,51.077305,17.880804,5.5053687,2.7400675,2.9058685,.0006103976,.000019690246,2.4741969
1990-01-31,PT170,PT,Área Metropolitana de Lisboa,11.447622,9.4414539,6.4260864,13.512561,15.44583,0,0,0,4.0523782,0,1.3810865,-.0092799785,-.15320605,-.11990825,73.688232,2.3770399,23.305958,31.33782,19.013342,-4.3238449,-1.2481465,-.17495272,1.7322600e-07,5.5879354e-09,4.1666455
1990-01-31,PT181,PT,Alentejo Litoral,10.65494,7.6194577,4.5148087,13.939993,15.685672,0,0,0,4.8450608,0,1.5125669,-.12432753,-.24255036,-.20303126,55.465717,1.7892166,15.12346,21.850323,19.161272,-11.6226,-6.9726739,-5.8554773,1.7322600e-07,5.5879354e-09,3.2659869
1990-01-31,PT184,PT,Baixo Alentejo,9.5427732,5.8366194,2.3044548,13.712819,15.510806,0,0,0,5.9572272,0,1.5382215,-.10506105,-.22150682,-.17914265,40.060059,1.2922599,10.768723,16.831532,21.091064,-14.86587,-9.8576679,-9.0482874,1.7322600e-07,5.5879354e-09,2.5663464
1990-01-31,PT185,PT,Lezíria do Tejo,9.6546946,6.5908403,2.6150503,13.196142,15.897412,0,0,0,5.8453059,0,1.7327771,-.24653748,-.41455138,-.37134042,68.453438,2.2081754,23.772303,32.284405,19.279634,-4.3050928,-2.7672205,-1.7262937,1.7322600e-07,5.5879354e-09,2.9106679
1990-01-31,PT186,PT,Alto Alentejo,8.3845396,5.1658792,1.5092369,11.985743,14.045093,0,0,0,7.1154604,0,1.7051399,-.089920036,-.23941654,-.19609395,56.311909,1.8165132,19.325855,27.563938,19.140518,-8.9604187,-5.6559315,-4.8922219,1.7376600e-07,5.6053548e-09,2.6458807
1990-01-31,PT187,PT,Alentejo Central,9.2142725,5.9541683,2.6346042,12.870735,14.843846,0,0,0,6.2857275,0,1.5517108,-.063506037,-.18597034,-.14279902,52.513458,1.6939825,18.486612,24.699924,19.57752,-10.94778,-7.0412331,-6.161881,1.7322600e-07,5.5879354e-09,2.6885433
1990-01-31,PT111,PT,Alto Minho,7.7945905,4.6259785,.70562398,11.269488,14.102876,0,0,1.9556696,7.7054095,0,2.0552721,-.42212501,-.65426832,-.59624225,228.33824,7.3657498,46.742893,84.827393,16.000168,19.179056,-1.0959969,-2.1219609,.000021547405,6.9507757e-07,2.7612579
1990-01-31,PT112,PT,Cávado,8.171567,5.1125169,1.5125957,11.728795,14.69342,0,0,.70696777,7.328433,0,2.0982742,-.44227183,-.68211228,-.62143266,200.24069,6.4593773,45.389698,78.724998,16,16.009619,-.79960573,-1.3013952,.000055455894,1.7888998e-06,2.8907325
1990-01-31,PT119,PT,Ave,7.2786822,4.075973,.48380834,11.049233,14.071991,0,0,.84055263,8.2213182,0,2.1231003,-.51491827,-.77031815,-.70712614,197.05315,6.3565536,46.997993,79.503174,16.001093,11.656992,-5.4749374,-6.2635202,.00042513511,.000013714036,2.5485046
1990-01-31,PT11A,PT,Área Metropolitana do Porto,9.6411743,7.1886272,4.3247628,12.136645,14.968828,0,0,.0045217872,5.8588252,0,1.5825243,-.20339407,-.40606272,-.36186093,154.12212,4.9716811,38.606476,63.467705,16.050882,15.44104,4.7269168,4.4553456,3.1236129e-07,1.0076170e-08,3.624907
1990-01-31,PT11B,PT,Alto Tâmega,4.9984498,2.0935674,-1.447834,7.999897,11.662034,0,0,5.9418135,10.501551,0,1.9859854,-.367679,-.59819144,-.54893726,125.86427,4.0601377,33.693935,55.410606,16.89852,9.1195068,-.36028129,-.25598961,.0017439377,.000056256056,2.0581415
1990-01-31,PT11C,PT,Tâmega e Sousa,6.433732,3.2189579,-.16428968,10.181984,13.083326,0,0,3.2791846,9.066268,0,2.2098758,-.56858897,-.82141167,-.76030731,165.53214,5.3397465,42.401035,68.408714,16.120466,10.914888,-3.7040248,-4.6384773,.000073785355,2.3801729e-06,2.323328
1990-01-31,PT11D,PT,Douro,5.2785053,2.2142646,-1.3519219,8.4622946,12.444221,0,0,6.8852234,10.221495,0,2.272613,-.49061003,-.71143669,-.66010255,103.45884,3.3373821,33.521553,50.149082,17.529776,10.769198,4.609273,4.8569937,.0001487922,4.7997482e-06,2.1095817
1990-01-31,PT11E,PT,Terras de Trás-os-Montes,4.6913123,1.4924533,-1.8786432,8.0557766,11.891261,0,0,11.976058,10.808687,0,2.2347713,-.41902643,-.63000596,-.57417339,99.706825,3.2163491,33.340084,48.687859,17.303221,13.434028,6.508142,6.7528028,.0059553757,.0001921089,2.1169269
1990-01-31,PT150,PT,Algarve,10.345988,6.9190145,3.8430867,14.14436,16.140623,0,0,0,5.1540112,0,1.3416415,-.15212867,-.23880474,-.19619958,43.560993,1.4051933,14.048551,21.007759,19.744036,-14.53042,-8.2714872,-7.3875399,1.7322600e-07,5.5879354e-09,3.0196009
1990-01-31,PT16B,PT,Oeste,10.970241,8.787406,5.6500301,13.309882,15.384754,0,0,0,4.5297589,0,1.4803032,-.05975239,-.21202126,-.17709726,80.841743,2.6077983,25.827782,35.551014,18.548561,-1.0267674,.49051797,1.3315905,1.7322600e-07,5.5879354e-09,3.975785
1990-01-31,PT200,PT,Região Autónoma dos Açores,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-31,PT300,PT,Região Autónoma da Madeira,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-28,PT16D,PT,Região de Aveiro,12.859824,10.346161,6.6359053,15.494783,21.27219,0,0,0,2.6543868,0,1.5215462,2.4885814,2.5181398,2.3785753,57.734646,2.0619516,12.449347,25.792454,8.9616861,-45.860809,-39.651691,-43.000393,3.1292439e-07,1.1175871e-08,3.3288524
1990-02-28,PT16E,PT,Região de Coimbra,12.617396,9.7837543,5.8891978,15.614482,21.24,0,0,0,2.9083982,0,1.5813318,2.4861834,2.5192547,2.3775027,36.888462,1.3174452,8.64639,13.6894,8.855094,-54.904163,-49.853672,-52.187382,3.1292439e-07,1.1175871e-08,3.1333125
1990-02-28,PT16F,PT,Região de Leiria,13.08166,10.680961,6.9910116,15.738585,20.683134,0,0,0,2.3953135,0,1.5246187,2.2277851,2.26828,2.1411991,23.926958,.85453421,5.7297211,8.7482138,9.4313374,-58.983425,-52.51165,-53.904465,3.1292439e-07,1.1175871e-08,3.9123046
1990-02-28,PT16G,PT,Viseu Dão Lafões,10.575416,7.5664845,3.0011303,13.79386,19.791454,0,0,0,4.9245849,0,1.6895561,2.6608646,2.6652122,2.5246706,55.821251,1.993616,13.509985,25.946112,8.9148693,-49.77235,-43.151962,-47.229919,3.1292439e-07,1.1175871e-08,2.5259812
1990-02-28,PT16H,PT,Beira Baixa,10.993524,7.7083244,3.2981379,14.862955,19.747475,0,0,0,4.424469,0,1.6207781,2.3963077,2.3428686,2.215651,15.387601,.54955721,4.5859499,7.6718373,13.878685,-60.747547,-52.830315,-53.997875,3.1292439e-07,1.1175871e-08,2.4714131
1990-02-28,PT16I,PT,Médio Tejo,12.575204,9.4536839,4.7313976,16.240032,21.527622,0,0,0,2.8557577,0,1.7408367,2.3750281,2.3924961,2.2588878,14.774835,.52767265,4.4802742,6.6212525,13.396704,-59.324131,-52.622524,-54.041283,3.1292439e-07,1.1175871e-08,3.2281632
1990-02-28,PT16J,PT,Beiras e Serra da Estrela,9.8576822,6.6102071,2.4011309,13.404749,18.514734,0,0,0,5.6421676,0,1.6396456,2.6936314,2.6760383,2.5325785,23.23432,.82979715,5.0687108,9.2668657,10.190175,-52.220238,-45.685577,-47.759781,3.1292439e-07,1.1175871e-08,2.5541918
1990-02-28,PT170,PT,Área Metropolitana de Lisboa,13.731897,11.894497,8.995347,15.700425,19.066416,0,0,0,1.759437,0,1.1280143,1.7560481,1.7883655,1.687111,11.92574,.42591929,4.4119849,5.0907068,18.688694,-53.849812,-44.947205,-45.794586,3.1292439e-07,1.1175871e-08,4.0855861
1990-02-28,PT181,PT,Alentejo Litoral,13.466844,10.608047,7.8085866,16.8514,21.234486,0,0,0,2.1081259,0,1.3158072,1.7602359,1.8438774,1.7331848,3.4411688,.12289888,.95570469,1.3424686,26.165632,-57.455769,-51.387314,-52.239658,3.1292439e-07,1.1175871e-08,3.291501
1990-02-28,PT184,PT,Baixo Alentejo,12.742891,8.7353325,5.1863408,17.38884,21.828333,0,0,0,2.9101236,0,1.6140238,1.8305594,1.8889196,1.7764343,1.8114265,.064693809,.65869075,.77264321,25.81502,-48.022312,-43.52718,-44.203026,3.1292439e-07,1.1175871e-08,2.5704386
1990-02-28,PT185,PT,Lezíria do Tejo,13.212216,10.216343,6.1785564,16.731091,21.625416,0,0,0,2.3340557,0,1.5633975,2.1893933,2.2124681,2.0851521,9.4238014,.3365643,2.5519533,3.7631776,14.997749,-52.6436,-45.312145,-46.479156,3.1292439e-07,1.1175871e-08,3.1412914
1990-02-28,PT186,PT,Alto Alentejo,12.073088,8.4688606,4.0158539,16.43771,22.136215,0,0,0,3.2811425,0,1.7634903,2.147258,2.1495576,2.025578,4.1611137,.1486112,1.2023734,1.8869257,23.682844,-52.603905,-47.359406,-47.867935,3.1292439e-07,1.1175871e-08,2.5612762
1990-02-28,PT187,PT,Alentejo Central,12.666269,9.0875168,4.6710176,16.983606,22.435045,0,0,0,2.8353403,0,1.7751573,2.0922167,2.13901,2.0163524,3.3587866,.11995666,1.0515318,1.3605056,24.083485,-52.900562,-47.390297,-48.327694,3.1292439e-07,1.1175871e-08,2.6466722
1990-02-28,PT111,PT,Alto Minho,11.802348,9.2544041,3.7896814,14.333788,20.167765,0,0,.013703016,3.6976516,0,1.49713,2.7013693,2.7055111,2.5611026,149.72278,5.3472424,32.508289,55.294823,3.3114135,-8.9592123,-.94997412,-7.4513431,3.1292439e-07,1.1175871e-08,3.4013731
1990-02-28,PT112,PT,Cávado,12.285965,9.6746063,4.2361035,14.897406,20.755339,0,0,.0025407532,3.2140348,0,1.5070436,2.7218375,2.7257478,2.579433,120.8747,4.3169537,25.946022,48.873035,7.035707,-18.827394,-11.157807,-16.706314,3.1292439e-07,1.1175871e-08,3.3182344
